Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Altrheinau, Rastatt (76437)",195.000 € 3.305 €/m²,2 Zimmer,59 m²,3. Geschoss,https://www.immowelt.de/expose/52ab2ebd-7709-4925-b773-2c0c8bf710ec
"Rheinau - Süd, Rastatt (76437)",275.000 € 3.312 €/m²,3 Zimmer,83 m²,Unknown,https://www.immowelt.de/expose/9f8c64d2-ba06-470c-8608-bdbd2b07b443
"Rheinau - Nord, Rastatt (76437)",255.000 € 3.153 €/m²,3 Zimmer,"80,9 m²",Unknown,https://www.immowelt.de/expose/1eb0c62a-65ee-4ef3-93fd-d38c5454935b
"Niederbühl, Rastatt (76437)",399.000 € 399.000 €/m²,3 Zimmer,1 m²,489 m² Grundstück,https://www.immowelt.de/expose/64686278-4b49-4971-b4c7-364d0d6096a3
"Zur Friedrichfeste, Rastatt (76437)",185.000 € 3.160 €/m²,2 Zimmer,"58,6 m²",2. Geschoss,https://www.immowelt.de/expose/daffaafa-184d-4e52-9d1b-dad950319f04
"Joseph - Loreye str 1/1, Röhrig, Rastatt (76437)",275.000 € 3.481 €/m²,"3,5 Zimmer",79 m²,2. Geschoss,https://www.immowelt.de/expose/2f8758fc-5633-424d-aed4-03da0c4dc621
"Rheinau - Nord, Rastatt (76437)",529.000 € 3.574 €/m²,6 Zimmer,148 m²,224 m² Grundstück,https://www.immowelt.de/expose/88d584cd-9cf3-4c77-8938-90171eb3d4d8
"Rheinauer Ring, Altrheinau, Rastatt (76437)",575.000 € 3.230 €/m²,6 Zimmer,178 m²,262 m² Grundstück,https://www.immowelt.de/expose/dd08df3f-e65d-4980-8fc2-8bb1905a350c
"Zur Friedrichfeste, Rastatt (76437)",340.000 € 3.208 €/m²,4 Zimmer,106 m²,1. Geschoss,https://www.immowelt.de/expose/259ce6fb-83e8-440f-8d6c-fbeda06de9d5
"Rheinau - Nord, Rastatt (76437)",255.000 € 3.153 €/m²,3 Zimmer,"80,9 m²",Unknown,https://www.immowelt.de/expose/e91c1f91-b2f2-47e2-96ac-161a93b319c8
"Niederbühl, Rastatt (76437)",228.000 € 3.050 €/m²,3 Zimmer,"74,8 m²",Unknown,https://www.immowelt.de/expose/4dae3a35-1d61-4adc-8cd7-56d1881fbb40
"Münchfeld - West, Rastatt (76437)",265.000 € 2.495 €/m²,4 Zimmer,"106,2 m²",Unknown,https://www.immowelt.de/expose/13163011-57f7-48d9-88f0-d2acb29a1889
"Zay - Ost, Rastatt (76437)",585.000 € 3.922 €/m²,6 Zimmer,"149,2 m²",599 m² Grundstück,https://www.immowelt.de/expose/4ee00136-d811-4271-91b1-bc09260c667d
"Bahnhof, Rastatt (76437)",280.000 € 3.636 €/m²,3 Zimmer,77 m²,1. Geschoss,https://www.immowelt.de/expose/845d3c1d-5e4a-4e00-9561-41c6d52835e4
"Zur Friedrichfeste, Rastatt (76437)",185.000 € 3.160 €/m²,2 Zimmer,"58,6 m²",2. Geschoss,https://www.immowelt.de/expose/00664a1f-a64d-442d-8ffb-f9ae0be8a290
"Zay - West, Rastatt (76437)",220.000 € 3.385 €/m²,2 Zimmer,65 m²,2. Geschoss,https://www.immowelt.de/expose/bec3c558-2a56-438c-8cf3-a0e47a05c5fe
"Zay - West, Rastatt (76437)",220.000 € 3.385 €/m²,2 Zimmer,65 m²,2. Geschoss,https://www.immowelt.de/expose/eab2fd9e-7b70-4654-9e16-626182075103
"Förch, Rastatt (76437)",629.900 € 4.172 €/m²,4 Zimmer,151 m²,660 m² Grundstück,https://www.immowelt.de/expose/d6e0dfea-4fd4-4786-bf3e-0169e016325e
"Förch, Rastatt (76437)",669.900 € 4.898 €/m²,4 Zimmer,"136,8 m²",661 m² Grundstück,https://www.immowelt.de/expose/77c0a63d-84bb-42e8-b7f0-77a4cbd01ce6
"Niederbühl, Rastatt (76437)",199.000 € 2.970 €/m²,3 Zimmer,67 m²,1. Geschoss,https://www.immowelt.de/expose/2e77b17b-0479-4b2b-9386-ca29364ca004
"Georgenvorstadt, Rastatt (76437)",870.000 € 2.437 €/m²,10 Zimmer,357 m²,397 m² Grundstück,https://www.immowelt.de/expose/f15d0386-215a-4c61-bd30-34a9a7d349f8
"Leopoldfeste, Rastatt (76437)",198.000 € 3.319 €/m²,2 Zimmer,"59,7 m²",Unknown,https://www.immowelt.de/expose/620d353d-1b72-4dd0-bb8c-4130d6700aad
"Bahnhof, Rastatt (76437)",248.000 € 3.307 €/m²,3 Zimmer,75 m²,Unknown,https://www.immowelt.de/expose/ec0ae868-aa01-4d63-b346-7791808694f3
"Bahnhof, Rastatt (76437)",650.000 € 2.500 €/m²,"4,5 Zimmer",261 m²,Unknown,https://www.immowelt.de/expose/2da16b88-aa3e-4302-bc99-f81dea284b42
"Röttererberg, Rastatt (76437)",666.000 € 3.872 €/m²,7 Zimmer,172 m²,421 m² Grundstück,https://www.immowelt.de/expose/038490c6-af04-4945-9d1b-881853aabdf0
"Ludwigvorstadt, Rastatt (76437)",368.538 € 5.032 €/m²,3 Zimmer,"73,2 m²",Unknown,https://www.immowelt.de/expose/66bb4ad4-8aa5-434b-950b-d2a05103f080
"Ludwigvorstadt, Rastatt (76437)",248.198 € 4.929 €/m²,2 Zimmer,"50,4 m²",Unknown,https://www.immowelt.de/expose/525ef222-f75c-40fe-8579-608ef3cb7918
"Leopoldfeste, Rastatt (76437)",462.000 € 3.372 €/m²,3 Zimmer,137 m²,1. Geschoss,https://www.immowelt.de/expose/e9e11035-16e5-416e-90dc-de6e9c46d635
"Zur Friedrichfeste, Rastatt (76437)",302.000 € 2.359 €/m²,3 Zimmer,128 m²,Unknown,https://www.immowelt.de/expose/d5998266-4b09-4df0-9c6d-0d2d74fb9edb
"Ludwigvorstadt, Rastatt (76437)",574.500 € 4.538 €/m²,4 Zimmer,"126,6 m²",EG,https://www.immowelt.de/expose/b121b6c1-3157-4d75-8fcb-f7af3fcd5505
"Beinle, Rastatt (76437)",209.990 € 2.966 €/m²,3 Zimmer,"70,8 m²",EG,https://www.immowelt.de/expose/60225e2f-1f5b-4de3-ba89-47ecb0289c42
"Zur Friedrichfeste, Rastatt (76437)",285.000 € 4.892 €/m²,2 Zimmer,"58,3 m²",4. Geschoss,https://www.immowelt.de/expose/937c2bbd-6c19-44b0-bade-53a9d626c215
"Beinle, Rastatt (76437)",75.000 € 1.974 €/m²,1 Zimmer,38 m²,Unknown,https://www.immowelt.de/expose/687c4447-9a74-45de-b9f8-df02a1c71e51
"Beinle, Rastatt (76437)",75.000 € 1.974 €/m²,38 m²,Unknown,Unknown,https://www.immowelt.de/expose/56d208ad-3ee4-4b6d-a2df-24ec71d2422b
"Beinle, Rastatt (76437)",75.000 € 1.974 €/m²,1 Zimmer,38 m²,Unknown,https://www.immowelt.de/expose/2069e60c-85a3-4d7f-ac4f-720a41414b98
"Zay - West, Rastatt (76437)",448.000 € 3.353 €/m²,6 Zimmer,"133,6 m²",549 m² Grundstück,https://www.immowelt.de/expose/300f537c-8f13-4e2b-8049-7ec51bf8f20c
"Zay - Ost, Rastatt (76437)",348.000 € 2.982 €/m²,5 Zimmer,"116,7 m²",425 m² Grundstück,https://www.immowelt.de/expose/a1250755-ef23-4939-b6f2-24f546a758d8
"Altrheinau, Rastatt (76437)",540.000 € 3.185 €/m²,6 Zimmer,"169,6 m²",357 m² Grundstück,https://www.immowelt.de/expose/0be6f667-536e-4128-83f3-d16b3841ea87
"Innenstadt, Rastatt (76437)",359.000 € 2.919 €/m²,4 Zimmer,123 m²,Unknown,https://www.immowelt.de/expose/d8e3e4db-4ae0-400c-9be7-4d2c842a63f0
"Plittersdorf, Rastatt / Plittersdorf (76437)",479.000 € 2.395 €/m²,6 Zimmer,200 m²,562 m² Grundstück,https://www.immowelt.de/expose/e12c103d-8032-4c40-a859-f8894ab42077
"Rauental, Rastatt (76437)",219.999 € 1.464 €/m²,4 Zimmer,"150,3 m²",1 m² Grundstück,https://www.immowelt.de/expose/187976c0-20bd-4242-ba66-9c5fc01124af
"Innenstadt, Rastatt (76437)",249.000 € 1.729 €/m²,4 Zimmer,"144,1 m²",Unknown,https://www.immowelt.de/expose/bde3c2aa-cc4a-4b27-8ee1-1527f97063c4
"Oberwald, Rastatt (76437)",195.000 € 2.868 €/m²,2 Zimmer,68 m²,2. Geschoss,https://www.immowelt.de/expose/c65b9de9-bcce-4706-bc96-13d9be7ddee6
"Beinle, Rastatt (76437)",234.000 € 3.441 €/m²,3 Zimmer,68 m²,5. Geschoss,https://www.immowelt.de/expose/87c46eb2-2f11-458f-9335-24b6f7c88d2e
"Rheinauer Ring 121/2, Altrheinau, Rastatt (76437)",245.000 € 2.889 €/m²,"3,5 Zimmer","84,8 m²",2. Geschoss,https://www.immowelt.de/expose/11378733-9298-4e1b-952a-d8b59a00b92f
"Altrheinau, Rastatt (76437)",780.000 € 3.568 €/m²,6 Zimmer,"218,6 m²",396 m² Grundstück,https://www.immowelt.de/expose/6322b094-8b33-4fc8-852f-3a65b3647a41
"Münchfeldsiedlung, Rastatt (76437)",985.000 € 6.156 €/m²,7 Zimmer,160 m²,700 m² Grundstück,https://www.immowelt.de/expose/843951d0-de32-4fb9-8499-732845fda7b0
"Röhrig, Rastatt (76437)",229.900 € 2.190 €/m²,3 Zimmer,105 m²,Unknown,https://www.immowelt.de/expose/740714d3-4323-47c1-b17a-4b8e84ac637c
"Niederbühl, Rastatt / Niederbühl (76437)",469.000 € 3.350 €/m²,5 Zimmer,140 m²,598 m² Grundstück,https://www.immowelt.de/expose/a95f4c46-faef-42f4-a702-88aa0decccd8
