Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Moritzberg, Hildesheim (31137)",257.000 € 2.766 €/m²,4 Zimmer,92 m²,Unknown,https://www.immowelt.de/expose/7af97ea0-0473-4883-9e97-cfdc059e4688
"Itzum, Hildesheim (31141)",250.000 € 1.812 €/m²,5 Zimmer,138 m²,349 m² Grundstück,https://www.immowelt.de/expose/beafd9e6-5497-47ff-8685-8c1ff1186e84
"Nordstadt, Hildesheim (31137)",725.000 €,8 Zimmer,832 m² Grundstück,Unknown,https://www.immowelt.de/expose/b7dd9f25-b5fb-40ca-bbbd-cc4d63519ec3
"Ochtersum, Hildesheim (31139)",498.000 € 2.528 €/m²,5 Zimmer,197 m²,600 m² Grundstück,https://www.immowelt.de/expose/10f312a9-d6ec-4a9e-8707-33ed76ab1ce8
"Himmelsthür, Hildesheim / Himmelsthür (31137)",199.000 € 2.618 €/m²,2 Zimmer,76 m²,1.594 m² Grundstück,https://www.immowelt.de/expose/ba0003e6-815e-48fb-b8ee-58072417cab7
"Moritzberg, Hildesheim (31137)",325.000 € 2.690 €/m²,5 Zimmer,"120,8 m²",427 m² Grundstück,https://www.immowelt.de/expose/5e56afd3-7e43-4e93-846a-88dcc13863f0
"Nordstadt, Hildesheim (31137)",246.000 €,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/5a5d16d8-7fe3-44cf-8fd1-c34dd2011b25
"Galgenberg, Hildesheim (31141)",84.000 € 1.292 €/m²,65 m²,Unknown,Unknown,https://www.immowelt.de/expose/10d3a5a8-2a48-4356-879f-3cfc098a18f1
"Galgenberg, Hildesheim (31141)",84.000 € 1.292 €/m²,3 Zimmer,65 m²,Unknown,https://www.immowelt.de/expose/7d0903b0-586a-47c1-a63b-8da01892ac83
"Ochtersum, Hildesheim / Ochtersum (31139)",199.000 € 2.211 €/m²,3 Zimmer,90 m²,Unknown,https://www.immowelt.de/expose/67b013f3-0a4b-488a-a047-fefcf826b008
"Mitte, Hildesheim (31134)",2.300.000 € 1.548 €/m²,1.486 m²,931 m² Grundstück,Unknown,https://www.immowelt.de/expose/701321e8-fb17-4dc8-b3c0-9cd0fa861e46
"Mitte, Hildesheim (31134)",780.000 € 1.831 €/m²,20 Zimmer,426 m²,162 m² Grundstück,https://www.immowelt.de/expose/9223f1d1-159a-4918-a58e-542e6ffec384
"Geschwister-Scholl Str. 5, Moritzberg, Hildesheim (31139)",199.000 € 3.413 €/m²,2 Zimmer,"58,3 m²",EG,https://www.immowelt.de/expose/8cf8bba4-e9b8-4d00-a43a-b28d11fb6f27
"Süd, Hildesheim (31134)",950.000 € 2.474 €/m²,384 m²,355 m² Grundstück,Unknown,https://www.immowelt.de/expose/40542cc9-e277-4226-9a09-737a139ec2df
"Ost, Hildesheim (31135)",229.000 € 2.082 €/m²,3 Zimmer,106 m²,Unknown,https://www.immowelt.de/expose/1b7c0b4b-cfc4-4e29-ae73-9a8f7446bbd6
"Nordstadt, Hildesheim (31137)",998.000 € 1.147 €/m²,40 Zimmer,870 m²,364 m² Grundstück,https://www.immowelt.de/expose/a46a5d28-c7de-4919-ab46-92c093f5a56a
