Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Ettenkirch 1, Friedrichshafen (88048)",490.000 € 4.900 €/m²,3 Zimmer,100 m²,EG,https://www.immowelt.de/expose/b8e187de-1a62-4c16-8ccd-9cac919f0e27
"Friedrichshafen - West 1, Friedrichshafen (88045)",3.180.000 € 12.569 €/m²,9 Zimmer,253 m²,1.810 m² Grundstück,https://www.immowelt.de/expose/eba66aa6-083b-4401-b49a-ea4a26ddc16f
"Klufterner Straße 145, Kluftern 3, Friedrichshafen (88048)",544.000 € 5.741 €/m²,3 Zimmer,"94,8 m²",EG,https://www.immowelt.de/projekte/expose/k2z3532
"Friedrichshafen - West 3, Friedrichshafen (88045)",629.900 € 5.770 €/m²,"4,5 Zimmer","109,2 m²",Unknown,https://www.immowelt.de/expose/c48fdd89-4db9-479c-aa90-02bd7d77d1b2
"Friedrichshafen - West 3, Friedrichshafen (88045)",409.900 € 6.099 €/m²,"2,5 Zimmer","67,2 m²",Unknown,https://www.immowelt.de/expose/d0cb7890-27ac-42ea-93ed-546fe5c35e01
"Reichenbergerstraße, Friedrichshafen - Nord 1, Friedrichshafen (88045)",320.000 € 4.051 €/m²,4 Zimmer,79 m²,EG,https://www.immowelt.de/expose/bbed673d-392b-45d3-aa57-26d9c9d93055
"Friedrichshafen - Ost 2, Friedrichshafen (88046)",228.000 € 2.923 €/m²,3 Zimmer,78 m²,frei ab sofort,https://www.immowelt.de/expose/7fec67dc-d51f-4b6b-9f60-2953095b17de
"Friedrichshafen - Ost 2, Friedrichshafen (88046)",685.000 € 6.850 €/m²,"3,5 Zimmer",100 m²,928 m² Grundstück,https://www.immowelt.de/expose/c5a93947-a165-43d5-9378-aa9301e4691a
"Sandöschstraße 23, Friedrichshafen - West 3, Friedrichshafen (88045)",593.000 € 6.762 €/m²,3 Zimmer,"87,7 m²",EG,https://www.immowelt.de/expose/3a10f752-f86f-40f8-b6ef-d4dc58babbb8
"Friedrichshafen - Ost 1, Friedrichshafen (88045)",324.000 € 3.690 €/m²,"3,5 Zimmer","87,8 m²",2. Geschoss,https://www.immowelt.de/expose/b11a445d-4dd3-43c7-b00e-15a640d085c2
"Friedrichshafen - Ost 2, Friedrichshafen (88046)",240.000 € 3.333 €/m²,3 Zimmer,72 m²,8. Geschoss,https://www.immowelt.de/expose/ddd8a303-530e-4315-b391-838020c932ba
"Friedrichshafen - Ost 2, Friedrichshafen (88046)",220.000 € 2.785 €/m²,3 Zimmer,79 m²,2. Geschoss,https://www.immowelt.de/expose/3fbadb72-21c9-41a1-a81d-72cfe5cf11a6
"Friedrichshafen - Ost 2, Friedrichshafen (88046)",419.000 € 4.190 €/m²,4 Zimmer,100 m²,419 m² Grundstück,https://www.immowelt.de/expose/a2d44176-6a54-45d3-a2c7-445881d02496
"Friedrichshafen - Mitte 4, Friedrichshafen (88046)",317.000 € 4.064 €/m²,3 Zimmer,78 m²,2. Geschoss,https://www.immowelt.de/expose/6e705071-5562-47e4-be17-e1d14e9f19cf
"Raderach, Friedrichshafen (88048)",390.000 € 4.239 €/m²,3 Zimmer,92 m²,EG,https://www.immowelt.de/expose/ef167fa1-9cf4-4bc1-b367-a4663d19ee96
"Fischbach 1, Friedrichshafen (88048)",380.000 € 5.588 €/m²,2 Zimmer,68 m²,Unknown,https://www.immowelt.de/expose/9aacc42c-f87d-4b37-8221-f28eed8f429b
"Raderach, Friedrichshafen (88048)",384.069 € 2.668 €/m²,4 Zimmer,144 m²,Unknown,https://www.immowelt.de/expose/5e984d4a-1cc9-4cff-a107-2841cc2bf3a7
"Friedrichshafen - Ost 2, Friedrichshafen (88046)",328.500 € 4.693 €/m²,2 Zimmer,70 m²,EG,https://www.immowelt.de/expose/918c300e-9e7d-487b-bef5-fa913f0307bb
