Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Nordvorstadt, Weimar (99423)",579.832 € 4.400 €/m²,4 Zimmer,"131,8 m²",EG,https://www.immowelt.de/expose/3c19246c-c1a3-4343-810a-d2955a3e5327
"Unterm Ettersberg, Schöndorf, Weimar (99427)",79.000 € 1.179 €/m²,3 Zimmer,67 m²,4. Geschoss,https://www.immowelt.de/expose/904a5f4c-860a-41c4-9d56-a7225eebd5e4
"Wassily-Kandisky-Str. 1b, Südstadt, Weimar (99425)",165.000 € 2.977 €/m²,2 Zimmer,"55,4 m²",4. Geschoss,https://www.immowelt.de/expose/b6f29d86-e1e3-42f0-80b7-dcc4cd0c1881
"Angergasse 5, Gaberndorf, Weimar (99428)",Preis auf Anfrage,2 Zimmer,"47,7 m²",Unknown,https://www.immowelt.de/expose/2b2110f2-1e30-4ede-a3cc-4c1370b337e0
"Tannenweg 33, Gaberndorf, Weimar (99425)",122.000 € 2.289 €/m²,2 Zimmer,"53,3 m²",2. Geschoss,https://www.immowelt.de/expose/01b405b2-dcea-4aef-a8e6-aa625a6b51c2
"Jahnstraße 08, Westvorstadt, Weimar (99423)",Preis auf Anfrage,21 Zimmer,"524,3 m²",513 m² Grundstück,https://www.immowelt.de/expose/7c3feba7-282f-41ae-babd-81a727d56ed0
"Bruno - Apitz - Straße 8a, Schöndorf, Weimar (99427)",125.000 € 2.315 €/m²,2 Zimmer,54 m²,EG,https://www.immowelt.de/expose/15e69629-39ac-4733-8bed-72f351d2637e
"Gaberndorf, Weimar (99428)",110.000 € 1.879 €/m²,2 Zimmer,"58,5 m²",EG,https://www.immowelt.de/expose/2fe57a86-1b7f-4bb0-8ef4-7549f9c8110e
"Gutenbergstraße 02, Westvorstadt, Weimar (99423)",Preis auf Anfrage,3 Zimmer,"80,7 m²",Unknown,https://www.immowelt.de/expose/30e14467-4b67-4b4a-88c0-46d62aadc311
"Vorwerksgasse, Altstadt, Weimar (99423)",520.000 € 2.811 €/m²,185 m²,107 m² Grundstück,Unknown,https://www.immowelt.de/expose/54247691-7337-4203-904a-c8adf342aaaa
"Brahmsstraße 02, Westvorstadt, Weimar (99423)",Preis auf Anfrage,4 Zimmer,110 m²,Unknown,https://www.immowelt.de/expose/ce725ecb-0f09-4e14-bed1-fb8ecec36ad0
"Am Weinberg, Taubach, Weimar (99425)",660.000 € 2.785 €/m²,5 Zimmer,168 m²,639 m² Grundstück,https://www.immowelt.de/expose/742a7198-f6aa-424e-b5fb-bcaa950b823b
"Westvorstadt, Weimar (99423)",Preis auf Anfrage,32 Zimmer,"781,2 m²",381 m² Grundstück,https://www.immowelt.de/expose/cc257155-6373-43ca-8b70-3df00fbf565b
"Buttelstedterstr., Westvorstadt, Weimar (99423)",645.000 € 2.932 €/m²,11 Zimmer,220 m²,357 m² Grundstück,https://www.immowelt.de/expose/f08107f0-9cd9-4792-b8bf-06b6466afdea
"Hegelstr. 4, Altstadt, Weimar (99423)",190.000 € 3.116 €/m²,2 Zimmer,61 m²,Unknown,https://www.immowelt.de/expose/fa9c1f64-fc5b-4e9c-97b0-fa5c6b2af197
"Rießnerstrasse 43, Industriegebiet Nord, Weimar (99427)",135.000 € 2.067 €/m²,3 Zimmer,"65,3 m²",Unknown,https://www.immowelt.de/expose/bc199ca0-d429-4ec2-8285-e409e1aa55de
"Rießnerstrasse 43, Industriegebiet Nord, Weimar (99427)",160.000 € 2.319 €/m²,3 Zimmer,69 m²,2. Geschoss,https://www.immowelt.de/expose/978c9007-45ff-40a6-9b9f-b42e1c7c45e0
"Rießnerstrasse 43, Industriegebiet Nord, Weimar (99427)",240.000 € 2.432 €/m²,3 Zimmer,"98,7 m²",4. Geschoss,https://www.immowelt.de/expose/ec30bc84-7069-4604-99d2-a4f6353461d1
"Rießnerstrasse 43, Industriegebiet Nord, Weimar (99427)",245.000 € 2.669 €/m²,4 Zimmer,"91,8 m²",Unknown,https://www.immowelt.de/expose/484ea88f-7748-4820-8bb8-9f092da7e4f3
Unknown,Unknown,2 Zimmer,63 m²,Unknown,https://www.immowelt.de/projekte/expose/k2s5432
"Nordvorstadt, Weimar (99423)",995.000 € 1.863 €/m²,534 m²,398 m² Grundstück,Unknown,https://www.immowelt.de/expose/a049fca0-7eab-44a0-a3cb-8b524a69f3e4
"Schönblick, Weimar (99425)",259.000 € 2.568 €/m²,3 Zimmer,"100,9 m²",EG,https://www.immowelt.de/expose/9da7d1b1-64bb-41ee-b50d-c3ec285f85c4
"Über der Sorge 19, Südstadt, Weimar (99425)",99.000 € 2.658 €/m²,1 Zimmer,"37,2 m²",Unknown,https://www.immowelt.de/expose/3baf4c48-52bd-422c-acf5-9a2690d3afb6
"Industriegebiet Nord, Weimar (99427)",850.000 € 1.775 €/m²,479 m²,448 m² Grundstück,Unknown,https://www.immowelt.de/expose/326d9f49-bfb8-4d38-afc0-38abc6e74bf8
"Gaberndorf, Weimar (99428)",485.000 € 2.771 €/m²,5 Zimmer,175 m²,415 m² Grundstück,https://www.immowelt.de/expose/7387a47c-975b-408b-990b-920c247e2531
Unknown,Unknown,4 Zimmer,"102,4 m²",EG,https://www.immowelt.de/projekte/expose/k2s5432
"Schönblick, Weimar (99425)",215.000 € 2.448 €/m²,3 Zimmer,"87,8 m²",2. Geschoss,https://www.immowelt.de/expose/eaa8857a-f544-4216-9fce-c992ec1b1ac2
"August-Baudert-Platz 2, Nordvorstadt, Weimar (99423)",173.000 € 2.869 €/m²,2 Zimmer,"60,3 m²",4. Geschoss,https://www.immowelt.de/expose/2097bac8-1527-41e9-8dbe-1906f46401dd
"Eichelborn, Isseroda (99428)",521.461 € 3.672 €/m²,5 Zimmer,142 m²,600 m² Grundstück,https://www.immowelt.de/expose/c05457f3-88ee-4767-b618-c74a4f7fc1bb
"Parkvorstadt, Weimar (99425)",595.000 € 4.508 €/m²,"4,5 Zimmer",132 m²,248 m² Grundstück,https://www.immowelt.de/expose/ecb48eb4-4af0-4975-a63f-9ca88075b908
