Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL;city_id
Wichlinghofen, Dortmund (44265),869.000 € 2.897 €/m²,10 Zimmer,300 m²,1.225 m² Grundstück,https://www.immowelt.de/expose/614dace5-25fb-478b-b950-e089a55e2367;5382
"Diemelstraße 52, Aplerbecker Mark, Dortmund (44287),497.900 € 4.750 €/m²,3 Zimmer,""104,8 m²"",2. Geschoss,https://www.immowelt.de/expose/b4a74235-b74b-4787-96e4-00aa39d72e6a";5382
"Mengeder Heide, Dortmund (44359),389.000 € 2.288 €/m²,""6,5 Zimmer"",170 m²,364 m² Grundstück,https://www.immowelt.de/expose/82ce61b8-49b0-41cd-9672-a91d27bb0c7c";5382
Lanstrop-Alt, Lanstrop (4439),439.750 € 3.490 €/m²,6 Zimmer,126 m²,410 m² Grundstück,https://www.immowelt.de/expose/829ea1b3-c883-4c3c-9419-ef4dbcd19ef2;5382
"Krokusweg 3, Sölde - Nord, Dortmund (44289),107.000 € 2.337 €/m²,""2,5 Zimmer"",""45,8 m²"",2. Geschoss,https://www.immowelt.de/expose/ac831a95-8e0b-4d5a-af94-4fb79dc0639f";5382
"Schulte-Heuthaus-Straße 51, Marten, Dortmund (44379),172.000 € 2.163 €/m²,""3,5 Zimmer"",""79,5 m²"",1. Geschoss,https://www.immowelt.de/expose/5404a103-5adb-4a6b-b40b-70ac2e3e13dc";5382
Holzen, Dortmund (44267),1.099.000 € 4.737 €/m²,6 Zimmer,232 m²,638 m² Grundstück,https://www.immowelt.de/expose/53a4e99f-c4b9-4cde-82af-bc503f6e5e12;5382
"Mengede-Mitte, Dortmund / Mengede (44359),529.900 € 3.706 €/m²,""5,5 Zimmer"",143 m²,266 m² Grundstück,https://www.immowelt.de/projekte/expose/k2lj532";5382
"Stadtrat-Cremer-Allee 28, Gartenstadt - Süd, Dortmund (44141),427.300 € 6.783 €/m²,""2,5 Zimmer"",63 m²,Unknown,https://www.immowelt.de/projekte/expose/k2tp732";5382
"Stadtrat-Cremer-Allee 28, Gartenstadt - Süd, Dortmund (44141),706.900 € 6.732 €/m²,""3,5 Zimmer"",105 m²,Unknown,https://www.immowelt.de/projekte/expose/k2tp732";5382
"Westheck, Dortmund (44309),120.000 € 2.182 €/m²,""2,5 Zimmer"",55 m²,frei ab sofort,https://www.immowelt.de/expose/22d5f010-0ed4-442d-95ae-ced79d0086e8";5382
"Bittermarkstraße 50, Bittermark, Dortmund (44229),292.800 € 5.631 €/m²,""2,5 Zimmer"",52 m²,Unknown,https://www.immowelt.de/projekte/expose/k2uk532";5382
Kirchhörde - West, Dortmund (44229),289.000 € 3.176 €/m²,3 Zimmer,91 m²,50. Geschoss,https://www.immowelt.de/expose/9771bc81-c6fc-4879-9e5d-e90ab531a7b2;5382
"Sichterweg 16, Sölde - Nord, Dortmund (44289),290.000 € 2.878 €/m²,4 Zimmer,""100,8 m²"",181 m² Grundstück,https://www.immowelt.de/expose/e259db34-c3e7-45fb-8c34-21a257fabd12";5382
Wischlingen, Dortmund (44369),330.000 € 2.750 €/m²,6 Zimmer,120 m²,687 m² Grundstück,https://www.immowelt.de/expose/716db5d0-112b-4c88-9c5a-ec4407d013da;5382
"Westpark, Dortmund (44137),299.800 € 3.785 €/m²,""2,5 Zimmer"",""79,2 m²"",2. Geschoss,https://www.immowelt.de/expose/ccc4c178-5bed-4895-afcc-a0904d8e8ae3";5382
