Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL;city_id
"Ludwigsburg - Ost, Ludwigsburg (71640),225.000 € 3.358 €/m²,""2,5 Zimmer"",67 m²,Unknown,https://www.immowelt.de/expose/19ae6336-fbb6-429b-85fd-c11fbfd5dccf";3922
"Ludwigsburg - Mitte, Ludwigsburg (71634),514.000 € 7.169 €/m²,3 Zimmer,""71,7 m²"",Unknown,https://www.immowelt.de/projekte/expose/k2xz832";3922
"Ludwigsburg - Mitte, Ludwigsburg (71634),309.000 € 7.428 €/m²,2 Zimmer,""41,6 m²"",Unknown,https://www.immowelt.de/projekte/expose/k2xz832";3922
"Gämsenbergstraße 10/1, Ludwigsburg - Ost, Ludwigsburg (71640),427.000 € 6.450 €/m²,3 Zimmer,""66,2 m²"",Unknown,https://www.immowelt.de/expose/89285b02-ee60-4208-b0f3-9d44fcbd4b98";3922
Ludwigsburg - Süd, Ludwigsburg (71638),387.000 € 5.451 €/m²,3 Zimmer,71 m²,1. Geschoss,https://www.immowelt.de/expose/e4e3ac06-88c1-4377-8073-ce6f0a749166;3922
Neckarweihingen, Ludwigsburg (71642),179.000 € 2.157 €/m²,3 Zimmer,83 m²,Unknown,https://www.immowelt.de/expose/6533ae6f-564c-4371-82c1-47b341150efb;3922
"Ludwigsburg - West, Ludwigsburg (71636),1.190.000 € 3.678 €/m²,""12,5 Zimmer"",""323,6 m²"",629 m² Grundstück,https://www.immowelt.de/expose/a4140edb-1271-4e4d-adcf-35cf35a38de2";3922
"Neckarweihingen, Ludwigsburg (71642),642.000 € 6.723 €/m²,4 Zimmer,""95,5 m²"",2. Geschoss,https://www.immowelt.de/projekte/expose/k2nq832";3922
Hermann-Löns Straße, Ossweil, Ludwigsburg (71640),Preis auf Anfrage,5 Zimmer,108 m²,77 m² Grundstück,https://www.immowelt.de/projekte/expose/k2hp632;3922
Lange Str. 3, Ossweil, Ludwigsburg (71640),640.000 €,823 m² Grundstück,Unknown,Unknown,https://www.immowelt.de/expose/705bb007-d07b-4ddc-95a9-0a4396b0230b;3922
Ludwigsburg - Süd, Ludwigsburg (71638),318.000 € 5.390 €/m²,3 Zimmer,59 m²,1. Geschoss,https://www.immowelt.de/expose/66b5e950-4576-4d91-b372-9bdbbcff95c9;3922
"Ludwigsburg - Ost, Ludwigsburg (71642),525.000 € 4.008 €/m²,""4,5 Zimmer"",131 m²,Unknown,https://www.immowelt.de/expose/7abd9f02-a32c-45c0-bb7e-4427bf7c0763";3922
Neckarweihingen, Ludwigsburg (71642),149.000 € 3.634 €/m²,1 Zimmer,41 m²,3. Geschoss,https://www.immowelt.de/expose/c65733f0-e4e4-4160-8224-7604714e664f;3922
Hoheneck, Ludwigsburg / Hoheneck (71642),489.000 € 4.613 €/m²,5 Zimmer,106 m²,385 m² Grundstück,https://www.immowelt.de/expose/28b573aa-688a-4906-9fd4-fab011e30796;3922
Ludwigsburg - Nord, Ludwigsburg (71642),175.000 € 3.302 €/m²,2 Zimmer,53 m²,Unknown,https://www.immowelt.de/expose/7c10a759-d5ee-4193-9aff-847ee874e7dd;3922
"Ludwigsburg - Mitte, Ludwigsburg (71634),319.000 € 7.668 €/m²,2 Zimmer,""41,6 m²"",Unknown,https://www.immowelt.de/projekte/expose/k2xz832";3922
Ludwigsburg - Mitte, Ludwigsburg (71634),439.000 € 7.839 €/m²,2 Zimmer,56 m²,Unknown,https://www.immowelt.de/projekte/expose/k2xz832;3922
Grünbühl, Ludwigsburg (71638),695.000 € 6.950 €/m²,4 Zimmer,100 m²,3. Geschoss,https://www.immowelt.de/expose/1997c53f-e043-46e2-bf58-a5bf4ac47038;3922
Grünbühl, Ludwigsburg (71638),349.000 € 6.712 €/m²,2 Zimmer,52 m²,Unknown,https://www.immowelt.de/expose/f911fd6c-1f66-415e-9b7c-a73d17d5b264;3922
Hoheneck, Ludwigsburg (71642),701.300 € 6.875 €/m²,5 Zimmer,102 m²,3. Geschoss,https://www.immowelt.de/expose/c31ef30e-deac-4ba8-b467-a9aa1a818f18;3922
Eglosheim, Ludwigsburg (71634),395.000 € 3.835 €/m²,5 Zimmer,103 m²,124 m² Grundstück,https://www.immowelt.de/expose/064f1015-431b-4938-8b8f-58fe74f21f33;3922
"Neckarweihingen, Ludwigsburg (71642),552.000 € 6.874 €/m²,3 Zimmer,""80,3 m²"",1. Geschoss,https://www.immowelt.de/projekte/expose/k2nq832";3922
"Neckarweihingen, Ludwigsburg (71642),209.000 € 6.699 €/m²,1 Zimmer,""31,2 m²"",Unknown,https://www.immowelt.de/projekte/expose/k2nq832";3922
Hermann-Löns Straße, Ossweil, Ludwigsburg (71640),Preis auf Anfrage,5 Zimmer,108 m²,97 m² Grundstück,https://www.immowelt.de/projekte/expose/k2hp632;3922
"Hermann-Löns Straße, Ossweil, Ludwigsburg (71640),Preis auf Anfrage,""5,5 Zimmer"",108 m²,95 m² Grundstück,https://www.immowelt.de/projekte/expose/k2hp632";3922
Ludwigsburg - Mitte, Ludwigsburg (71634),279.000 € 5.471 €/m²,2 Zimmer,51 m²,1. Geschoss,https://www.immowelt.de/expose/48819cbd-0994-4b7d-92d5-3bd1f28f2464;3922
"Rosenackerweg 6, Eglosheim, Ludwigsburg (71634),178.000 € 4.460 €/m²,2 Zimmer,""39,9 m²"",EG,https://www.immowelt.de/expose/2cc51aca-1a35-4a6b-91d9-52f26d4efcf9";3922
"Ludwigsburg - Mitte, Ludwigsburg (71638),319.000 € 4.090 €/m²,""2,5 Zimmer"",78 m²,frei ab 01.12.2024,https://www.immowelt.de/expose/7f4b532b-d16a-44d3-9aef-57a525db5edf";3922
"Eglosheim, Ludwigsburg (71634),245.000 € 2.988 €/m²,""3,5 Zimmer"",82 m²,Unknown,https://www.immowelt.de/expose/84477070-0654-40b3-b47d-9debffc2c5cc";3922
Ludwigsburg - Nord, Ludwigsburg (71634),279.000 € 3.986 €/m²,2 Zimmer,70 m²,Unknown,https://www.immowelt.de/expose/b5301095-d2e9-456a-91bb-33999083b3a1;3922
"Ludwigsburg - Süd, Ludwigsburg (71638),699.000 € 5.942 €/m²,3 Zimmer,""117,6 m²"",4. Geschoss,https://www.immowelt.de/expose/6c91cd50-f7fd-4315-b5d3-3a74cf1019f9";3922
Ludwigsburg - Mitte, Ludwigsburg (71638),1.400.000 €,8 Zimmer,181 m² Grundstück,Unknown,https://www.immowelt.de/expose/1e964c14-d541-4ae8-ba9b-4aba21e7b734;3922
"Ludwigsburg - Mitte, Ludwigsburg (71634),359.000 € 3.945 €/m²,""3,5 Zimmer"",91 m²,3. Geschoss,https://www.immowelt.de/expose/bec2ff5a-56dd-4ecb-8296-656da1edc1c8";3922
Ludwigsburg - Mitte, Ludwigsburg (71634),364.000 € 3.640 €/m²,3 Zimmer,100 m²,2. Geschoss,https://www.immowelt.de/expose/ab825255-feb7-4d54-8572-46a4b81814bb;3922
Ossweil, Ludwigsburg / Oßweil (71640),220.000 € 4.004 €/m²,2 Zimmer,55 m²,1. Geschoss,https://www.immowelt.de/expose/30832f2a-293c-48cc-a32f-0de2a2b88c07;3922
Ossweil, Ludwigsburg-Oßweil (71640),282.000 € 3.169 €/m²,3 Zimmer,89 m²,Unknown,https://www.immowelt.de/expose/0d495b98-9acf-48b1-9190-da8cd3447a43;3922
Ossweil, Ludwigsburg (71640),1.600.000 € 6.957 €/m²,6 Zimmer,230 m²,540 m² Grundstück,https://www.immowelt.de/expose/23156553-e2bc-4550-b501-65d6b33244a9;3922
Pflugfelden, Ludwigsburg (71636),749.000 € 5.992 €/m²,6 Zimmer,125 m²,200 m² Grundstück,https://www.immowelt.de/expose/09596e97-ce7a-47b1-a8fb-34234ae0c4c6;3922
Ossweil, Ludwigsburg (71640),225.000 € 5.233 €/m²,2 Zimmer,43 m²,1. Geschoss,https://www.immowelt.de/expose/046d994b-d760-44e6-b212-41af0e721e81;3922
"Poppenweil, Ludwigsburg / Poppenweiler (71642),459.000 € 3.874 €/m²,""4,5 Zimmer"",""118,5 m²"",746 m² Grundstück,https://www.immowelt.de/expose/51a68529-d21b-4704-a1dc-1daba292ffed";3922
Reichenbach, Ludwigsburg (71634),11.200.000 € 1.736 €/m²,100 Zimmer,6.452 m²,7.400 m² Grundstück,https://www.immowelt.de/expose/c0f84dc2-b0b9-444d-8c6d-339cd9724c7a;3922
Reichenbach, Ludwigsburg (71634),21.500.000 € 1.649 €/m²,100 Zimmer,13.036 m²,19.000 m² Grundstück,https://www.immowelt.de/expose/1ed10feb-6dbb-4d0f-a3c9-78ff045bcbae;3922
Reichenbach, Ludwigsburg (71634),21.500.000 € 1.649 €/m²,100 Zimmer,13.036 m²,19.000 m² Grundstück,https://www.immowelt.de/expose/824560b9-2340-480f-a5f3-cb82906890e5;3922
