Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Bornim, Potsdam (14469),839.000 3.290,"7,5 Zimmer",255 m²,1.121 m² Grundstuck,https://www.immowelt.de/expose/26ae151d-ba04-4b0d-9260-aad72640a35f,2150,"Bornim,  Potsdam (14469)",60
Nauener Vorstadt, Potsdam (14469),Preis auf Anfrage,EG,Unknown,Unknown,https://www.immowelt.de/expose/3e88011c-4d5e-4fd9-bbae-bda0e695985e,2150,"Nauener Vorstadt,  Potsdam (14469)",166
Golm, Potsdam (14479),676.004 4.036,5 Zimmer,"167,5 m²",528 m² Grundstuck,https://www.immowelt.de/expose/637b2248-15a7-4002-827b-bf1c3c6ce711,2150,"Golm,  Potsdam (14479)",146
Fahrland, Potsdam (14476),495.000 3.666,5 Zimmer,135 m²,217 m² Grundstuck,https://www.immowelt.de/expose/d3346fb4-6eee-40fc-8233-49d37b619b4d,2150,"Fahrland,  Potsdam (14476)",61
Waldstadt I, Potsdam (14478),650.000 4.545,5 Zimmer,143 m²,840 m² Grundstuck,https://www.immowelt.de/expose/5ebd496b-b4ff-4cd8-9791-7c519e95442f,2150,"Waldstadt I,  Potsdam (14478)",166
GroÃŸ Glienicke, Potsdam (14476),1.100.000 5.473,5 Zimmer,201 m²,990 m² Grundstuck,https://www.immowelt.de/expose/10677304-2dc4-440a-83bc-6b4cd9c73530,2150,"GroÃŸ Glienicke,  Potsdam (14476)",0
Berliner Vorstadt, Potsdam (14469),680.000 7.640,3 Zimmer,89 m²,3. Geschoss,https://www.immowelt.de/expose/29fc584c-d7c7-4d30-b793-7f038c8e213e,2150,"Berliner Vorstadt,  Potsdam (14469)",75
Berliner Vorstadt, Potsdam (14469),877.000 7.744,4 Zimmer,"113,3 m²",2. Geschoss,https://www.immowelt.de/expose/31c92a93-ac3f-44b3-bb26-6b94747ca5b1,2150,"Berliner Vorstadt,  Potsdam (14469)",75
Berliner Vorstadt, Potsdam (14469),858.000 7.675,4 Zimmer,"111,8 m²",2. Geschoss,https://www.immowelt.de/expose/ee11b3f3-591b-47eb-aa58-a483bf5fadf5,2150,"Berliner Vorstadt,  Potsdam (14469)",75
Berliner Vorstadt, Potsdam (14469),694.000 6.980,4 Zimmer,"99,4 m²",1. Geschoss,https://www.immowelt.de/expose/308a4d14-d55d-4511-9270-1c8b91639a92,2150,"Berliner Vorstadt,  Potsdam (14469)",75
Berliner Vorstadt, Potsdam (14469),850.000 7.600,4 Zimmer,"111,8 m²",1. Geschoss,https://www.immowelt.de/expose/3e791cb5-28dc-4d7b-bb6a-55e98dd15d76,2150,"Berliner Vorstadt,  Potsdam (14469)",75
NÃ¶rdliche Innenstadt, Potsdam (14467),860.000 7.679,4 Zimmer,112 m²,Unknown,https://www.immowelt.de/expose/41158de7-dc62-4314-bda4-484dd0860e46,2150,"NÃ¶rdliche Innenstadt,  Potsdam (14467)",0
Klein Glienicke, Potsdam (14482),1.550.000 8.886,6 Zimmer,"174,4 m²",729 m² Grundstuck,https://www.immowelt.de/expose/338d2c1f-e845-4a6e-be60-e1a592e3128f,2150,"Klein Glienicke,  Potsdam (14482)",55
Babelsberg - Sud, Potsdam (14482),1.690.000 11.565,4 Zimmer,"161,2 m²",3. Geschoss,https://www.immowelt.de/expose/3fd405b8-62d2-4bfe-b8df-7beaea07020f,2150,"Babelsberg - Sud,  Potsdam (14482)",221
Teltower Vorstadt, Potsdam (14478),935.000 7.480,5 Zimmer,125 m²,1.285 m² Grundstuck,https://www.immowelt.de/expose/31bbd413-be9c-4236-b92c-b0f3b7638819,2150,"Teltower Vorstadt,  Potsdam (14478)",149
Babelsberg - Nord, Potsdam (14482),276.999 1.608,5 Zimmer,"172,3 m²",415 m² Grundstuck,https://www.immowelt.de/expose/e6c5e6f8-bc4a-403d-94c1-694b1dda2069,2150,"Babelsberg - Nord,  Potsdam (14482)",238
Fahrland, Potsdam (14476),276.999 1.608,5 Zimmer,"172,3 m²",496 m² Grundstuck,https://www.immowelt.de/expose/0334bdc3-f7a3-402b-8dda-b913cd95c12d,2150,"Fahrland,  Potsdam (14476)",61
NÃ¶rdliche Innenstadt, Potsdam (14469),990.000 4.500,8 Zimmer,220 m²,830 m² Grundstuck,https://www.immowelt.de/expose/66e96405-9615-4c5e-81ff-4605b35d2cf5,2150,"NÃ¶rdliche Innenstadt,  Potsdam (14469)",0
GroÃŸ Glienicke, Potsdam / GroÃŸ Glienicke (14476),1.995.000 8.125,6 Zimmer,"245,6 m²",1.070 m² Grundstuck,https://www.immowelt.de/expose/d1c0ed4a-7e4b-4437-adb4-93e8e8ab0df1,2150,"GroÃŸ Glienicke,  Potsdam / GroÃŸ Glienicke (14476)",0
Bornstedt, Potsdam (14469),1.720.000 4.241,6 Zimmer,422 m²,748 m² Grundstuck,https://www.immowelt.de/expose/432c1ea0-7dd6-4b5a-bc47-38032a2d0210,2150,"Bornstedt,  Potsdam (14469)",100
Bornstedt, Potsdam (14469),895.000 4.241,6 Zimmer,211 m²,455 m² Grundstuck,https://www.immowelt.de/expose/cfa192f9-59e7-42ae-a688-4a24bcc89ba0,2150,"Bornstedt,  Potsdam (14469)",100
Berliner Vorstadt, Potsdam (14467),2.290.000 5.754,398 m²,1.370 m² Grundstuck,Unknown,https://www.immowelt.de/expose/4f801011-90c6-429c-a902-c5414cb9be21,2150,"Berliner Vorstadt,  Potsdam (14467)",75
Stern, Potsdam (14480),650.000 6.373,"3,5 Zimmer",102 m²,820 m² Grundstuck,https://www.immowelt.de/expose/76bc6d99-a786-4849-a7d1-a6dd57fdd343,2150,"Stern,  Potsdam (14480)",324
Babelsberg - Nord, Potsdam (14482),Preis auf Anfrage,10 Zimmer,"510,1 m²",5.309 m² Grundstuck,https://www.immowelt.de/expose/8607629a-1e75-4151-a6aa-fac214587c17,2150,"Babelsberg - Nord,  Potsdam (14482)",238
Berliner Vorstadt, Potsdam (14467),430.000 7.049,2 Zimmer,61 m²,EG,https://www.immowelt.de/expose/cfea5f1b-a8b7-435c-b1b1-2e7f2d4f4433,2150,"Berliner Vorstadt,  Potsdam (14467)",75
Fahrland, Potsdam (14467),498.135 2.995,5 Zimmer,"166,4 m²",530 m² Grundstuck,https://www.immowelt.de/expose/6c0b09a4-80ee-48fa-a638-8a3f24376516,2150,"Fahrland,  Potsdam (14467)",61
Golm, Potsdam (14479),618.862 5.626,4 Zimmer,110 m²,656 m² Grundstuck,https://www.immowelt.de/expose/5ea7a9fa-b4d8-45d2-ab8b-96ec91a46d89,2150,"Golm,  Potsdam (14479)",146
Potsdam - West, Potsdam (14471),Preis auf Anfrage,3 Zimmer,"118,5 m²",1. Geschoss,https://www.immowelt.de/expose/9ca8b599-d533-4d56-b895-3a376b76c971,2150,"Potsdam - West,  Potsdam (14471)",185
Berliner Vorstadt, Potsdam (14467),2.900.000 10.545,8 Zimmer,"275,1 m²",871 m² Grundstuck,https://www.immowelt.de/expose/25933778-f164-4509-8815-6c0da00aaab8,2150,"Berliner Vorstadt,  Potsdam (14467)",75
Bornstedt, Potsdam (14469),599.000 4.992,3 Zimmer,120 m²,1. Geschoss,https://www.immowelt.de/expose/c8adf73d-8969-463a-a8cd-14c9869b064a,2150,"Bornstedt,  Potsdam (14469)",100
GroÃŸ Glienicke, Potsdam (14476),1.500.000 6.085,9 Zimmer,"246,5 m²",833 m² Grundstuck,https://www.immowelt.de/expose/be9fc04b-d172-4463-9176-4b266fb90aef,2150,"GroÃŸ Glienicke,  Potsdam (14476)",0
Bornstedt, Potsdam (14469),225.000 3.998,2 Zimmer,"56,3 m²",2. Geschoss,https://www.immowelt.de/expose/7214b8f6-bcd7-4224-8e73-c1bf34c05d02,2150,"Bornstedt,  Potsdam (14469)",100
GroÃŸ Glienicke, GroÃŸ Glienicke (14476),1.600.000 8.163,7 Zimmer,196 m²,1.132 m² Grundstuck,https://www.immowelt.de/expose/3c78559f-7fdb-471e-96e7-955fe4095a82,2150,"GroÃŸ Glienicke,  GroÃŸ Glienicke (14476)",0
Nedlitz, Potsdam (14469),719.000 8.064,3 Zimmer,"89,2 m²",3. Geschoss,https://www.immowelt.de/expose/da5f3294-6b90-41df-8b66-4dcfbb1ff69b,2150,"Nedlitz,  Potsdam (14469)",42
FÃ¶rsterweg 11, Potsdam (14482),518.000 5.972,"2,5 Zimmer","86,7 m²",3. Geschoss,https://www.immowelt.de/expose/6480f120-3db8-47eb-9c70-bd368f586839,2150,"FÃ¶rsterweg 11,  Potsdam (14482)",0
Eiche, Potsdam (14471),875.000 4.704,8 Zimmer,186 m²,2.189 m² Grundstuck,https://www.immowelt.de/expose/2fb751d4-bf0d-4dbd-94e4-f7eda79b46f2,2150,"Eiche,  Potsdam (14471)",157
Stern, Potsdam (14480),249.900 3.520,4 Zimmer,71 m²,4. Geschoss,https://www.immowelt.de/expose/3ab2ca85-33ea-471e-baa2-2fbd5df7dc56,2150,"Stern,  Potsdam (14480)",324
Fahrland, Potsdam (14476),464.329 3.201,5 Zimmer,"145,1 m²",530 m² Grundstuck,https://www.immowelt.de/expose/6983677d-6eb9-48fa-95e3-6f8ae512b7fe,2150,"Fahrland,  Potsdam (14476)",61
Sudliche Innenstadt, Potsdam (14473),990.000 6.016,4 Zimmer,"162,4 m²",Unknown,https://www.immowelt.de/expose/70e482bb-639e-4636-a060-f0bf039cedb7,2150,"Sudliche Innenstadt,  Potsdam (14473)",0
