Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
RamsauerstraÃŸe 3, Oldenburg (26131),754.022 5.068,3 Zimmer,"148,8 m²",Unknown,https://www.immowelt.de/expose/946b5267-cbe2-492e-9bd1-73eb486090e6,4004,"RamsauerstraÃŸe 3,  Oldenburg (26131)",0
RamsauerstraÃŸe 3, Oldenburg (26131),550.759 5.343,"2,5 Zimmer","103,1 m²",frei ab sofort,https://www.immowelt.de/expose/8542509b-9b1f-48dc-b161-a37323c30a7e,4004,"RamsauerstraÃŸe 3,  Oldenburg (26131)",0
RamsauerstraÃŸe 3, Oldenburg (26131),519.241 5.358,"2,5 Zimmer","96,9 m²",frei ab sofort,https://www.immowelt.de/expose/cb14c33a-efb7-442a-b0b6-06ea88139492,4004,"RamsauerstraÃŸe 3,  Oldenburg (26131)",0
RamsauerstraÃŸe 3, Oldenburg (26131),308.156 5.529,2 Zimmer,"55,7 m²",EG,https://www.immowelt.de/expose/419193a9-e543-4065-a880-23f659ccac12,4004,"RamsauerstraÃŸe 3,  Oldenburg (26131)",0
Mitte, Oldenburg (26125),363.000 4.252,3 Zimmer,"85,4 m²",125 m² Grundstuck,https://www.immowelt.de/expose/0833f3a5-6cc4-4540-aeb2-38169b04bd34,4004,"Mitte,  Oldenburg (26125)",524
Ofenerdiek, Oldenburg (26125),355.000 4.158,3 Zimmer,"85,4 m²",125 m² Grundstuck,https://www.immowelt.de/expose/754c48d6-94e9-4e1a-90e1-5d0f859155a0,4004,"Ofenerdiek,  Oldenburg (26125)",160
ScharnhorststraÃŸe, Oldenburg / Eversten (26131),895.000 2.264,16 Zimmer,"395,4 m²",767 m² Grundstuck,https://www.immowelt.de/expose/fd34184f-d2b6-4527-97ab-fd2e1051e228,4004,"ScharnhorststraÃŸe,  Oldenburg / Eversten (26131)",0
Bloherfelde, Oldenburg (26129),299.000 2.792,4 Zimmer,"107,1 m²",712 m² Grundstuck,https://www.immowelt.de/expose/224bd924-bd20-416d-878d-c71a624cf881,4004,"Bloherfelde,  Oldenburg (26129)",205
Friedrich-August-Platz, Oldenburg (26121),795.000 6.235,4 Zimmer,"127,5 m²",492 m² Grundstuck,https://www.immowelt.de/expose/85a2649e-bd79-45b7-b6a4-5cf549da8c8e,4004,"Friedrich-August-Platz,  Oldenburg (26121)",285
LambertistraÃŸe, Oldenburg (26121),Preis auf Anfrage,4 Zimmer,"124,5 m²",668 m² Grundstuck,https://www.immowelt.de/expose/5418a3da-8562-408e-80a8-4a525e1430a5,4004,"LambertistraÃŸe,  Oldenburg (26121)",0
