Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
SchongauerstraÃŸe 40, Berlin (12623),579.000 4.720,4 Zimmer,"122,7 m²",3. Geschoss,https://www.immowelt.de/projekte/expose/k2xx532,1219,"SchongauerstraÃŸe 40,  Berlin (12623)",0
Lichtenrade, Berlin (12305),398.000 4.682,2 Zimmer,85 m²,2. Geschoss,https://www.immowelt.de/expose/c8451e85-5c72-472a-9186-ddadac1359f3,1219,"Lichtenrade,  Berlin (12305)",341
SchongauerstraÃŸe 40, Berlin (12623),683.000 5.459,5 Zimmer,"125,1 m²",1. Geschoss,https://www.immowelt.de/projekte/expose/k2xx532,1219,"SchongauerstraÃŸe 40,  Berlin (12623)",0
SchongauerstraÃŸe 40, Berlin (12623),959.000 4.870,8 Zimmer,"196,9 m²",2. Geschoss,https://www.immowelt.de/projekte/expose/k2xx532,1219,"SchongauerstraÃŸe 40,  Berlin (12623)",0
Kiehlufer 57, Berlin (12059),177.000 4.153,1 Zimmer,"42,6 m²",Unknown,https://www.immowelt.de/expose/469adedb-d2de-46f7-948f-0b0393b324f3,1219,"Kiehlufer 57,  Berlin (12059)",761
Kiehlufer 57, Berlin (12059),197.000 4.970,1 Zimmer,"39,6 m²",Unknown,https://www.immowelt.de/expose/00341342-5093-4d6d-abf6-2be03d98bc5a,1219,"Kiehlufer 57,  Berlin (12059)",761
Kaulsdorf, Berlin (12621),545.000 3.569,5 Zimmer,"152,7 m²",120 m² Grundstuck,https://www.immowelt.de/expose/911ebf5d-8e29-4b02-a6ab-4cc4af06cd26,1219,"Kaulsdorf,  Berlin (12621)",262
Mozartstr. 1a, Berlin (13158),980.000 8.186,4 Zimmer,"119,7 m²",4. Geschoss,https://www.immowelt.de/projekte/expose/k233532,1219,"Mozartstr. 1a,  Berlin (13158)",207
Rudow, Berlin (12357),499.000 5.736,3 Zimmer,87 m²,2. Geschoss,https://www.immowelt.de/expose/163c65e0-d3b9-4944-b814-7bf2a33e4b61,1219,"Rudow,  Berlin (12357)",391
Deutsch-Kroner-Ring 18 a, Berlin (12349),475.000 3.519,5 Zimmer,135 m²,520 m² Grundstuck,https://www.immowelt.de/expose/e0c28930-bbc0-4db9-b8c9-02e8a1250b27,1219,"Deutsch-Kroner-Ring 18 a,  Berlin (12349)",147
