Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Homburg, Homburg (66424),295.000 1.766,8 Zimmer,167 m²,486 m² Grundstuck,https://www.immowelt.de/expose/a838fdde-060f-492f-b25d-b29cfe60c49c,2750,"Homburg,  Homburg (66424)",259
Homburg, Homburg (66424),235.000 1.958,5 Zimmer,120 m²,614 m² Grundstuck,https://www.immowelt.de/expose/e6937870-e4d5-4fa2-8d71-c2cdcc45d7b6,2750,"Homburg,  Homburg (66424)",259
Homburg, Homburg (66424),360.000 4.091,88 m²,520 m² Grundstuck,Unknown,https://www.immowelt.de/expose/9a54ac93-6dc7-4709-9828-bc76e897773a,2750,"Homburg,  Homburg (66424)",259
Homburg, Saar (66424),600000,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/d6c3042d-c7dd-4ddf-b21f-d5abb29195b8,2750,"Homburg,  Saar (66424)",259
Erbach, Homburg (66424),359.000 619,18 Zimmer,580 m²,630 m² Grundstuck,https://www.immowelt.de/expose/acf21293-b400-4f23-976c-fa75d7397c29,2750,"Erbach,  Homburg (66424)",101
Altstadt, Kirkel (66459),164.999 1.320,5 Zimmer,125 m²,550 m² Grundstuck,https://www.immowelt.de/expose/f85e4521-6e63-41cb-8fd4-7531c8cfedc6,2750,"Altstadt,  Kirkel (66459)",0
Altstadt, Kirkel (66459),418.000 1.344,9 Zimmer,311 m²,1.491 m² Grundstuck,https://www.immowelt.de/expose/b7ce633f-2bb9-4314-b46d-abcca4c777ee,2750,"Altstadt,  Kirkel (66459)",0
Limbach, Kirkel-Limbach (66459),557.443 4.255,5 Zimmer,131 m²,602 m² Grundstuck,https://www.immowelt.de/expose/ae86f910-ca40-47ef-995f-4b4a5f512587,2750,"Limbach,  Kirkel-Limbach (66459)",46
Limbach, Kirkel (66459),832.939 3.529,10 Zimmer,236 m²,1.050 m² Grundstuck,https://www.immowelt.de/expose/1ef21fe0-094c-4a29-83c2-d0b5ff1b7e2e,2750,"Limbach,  Kirkel (66459)",55
Kastanienweg 9, Bechhofen (66894),169.500 1.883,4 Zimmer,90 m²,2. Geschoss,https://www.immowelt.de/expose/00da6f65-1115-48e2-bd9d-1ab1dd2f8b0d,2750,"Kastanienweg 9,  Bechhofen (66894)",0
Limbach, Kirkel-Limbach (66459),558.589 3.365,5 Zimmer,166 m²,1.050 m² Grundstuck,https://www.immowelt.de/expose/e4ed63ee-1a07-416d-affb-6a036cdbedda,2750,"Limbach,  Kirkel-Limbach (66459)",46
Bexbach, Bexbach (66450),504.313 3.821,4 Zimmer,132 m²,"887,5 m² Grundstuck",https://www.immowelt.de/expose/17b1f7cd-4399-42ac-9b35-2cefb0ab08b5,2750,"Bexbach,  Bexbach (66450)",91
Bexbach, Bexbach (66450),275.000 1.833,9 Zimmer,150 m²,Unknown,https://www.immowelt.de/expose/c5b0f524-c8e5-4190-bd17-e1e404baf4b5,2750,"Bexbach,  Bexbach (66450)",91
Limbach, Kirkel-Limbach (66459),512.239 4.493,4 Zimmer,114 m²,1.050 m² Grundstuck,https://www.immowelt.de/expose/df244180-7649-4a95-bc44-27c1628cc651,2750,"Limbach,  Kirkel-Limbach (66459)",46
Bexbach, Bexbach (66450),517.013 3.947,5 Zimmer,131 m²,"887,5 m² Grundstuck",https://www.immowelt.de/expose/d9efecdc-4007-4771-ba11-694f076c665c,2750,"Bexbach,  Bexbach (66450)",91
Bexbach, Bexbach (66450),275.000 1.618,8 Zimmer,170 m²,600 m² Grundstuck,https://www.immowelt.de/expose/dc982364-3b55-4b56-881f-105492e97a61,2750,"Bexbach,  Bexbach (66450)",91
Bexbach, Bexbach (66450),534.573 4.019,4 Zimmer,133 m²,"887,5 m² Grundstuck",https://www.immowelt.de/expose/6c6de33d-c6c7-41be-b36a-8e88b6679286,2750,"Bexbach,  Bexbach (66450)",91
Erbland, Gummersbach (51645),356.000 1.780,4 Zimmer,200 m²,500 m² Grundstuck,https://www.immowelt.de/expose/335ea8cd-32a2-4ea1-9129-a8b2ce533742,2756,"Erbland,  Gummersbach (51645)",17
Steinenbruck, Gummersbach (51643),487.000 3.102,5 Zimmer,157 m²,502 m² Grundstuck,https://www.immowelt.de/expose/bed490e6-dcf6-45ec-8ba8-85e0e17dfd70,2756,"Steinenbruck,  Gummersbach (51643)",169
Steinenbruck, Gummersbach (51643),374.000 2.382,5 Zimmer,157 m²,502 m² Grundstuck,https://www.immowelt.de/expose/bbaba419-d81d-47e8-bb9e-42cab370774b,2756,"Steinenbruck,  Gummersbach (51643)",169
NiederseÃŸmar, Gummersbach (51645),599.000 2.723,8 Zimmer,220 m²,927 m² Grundstuck,https://www.immowelt.de/expose/5a456da2-60d2-4931-8f3c-411731e8d3a6,2756,"NiederseÃŸmar,  Gummersbach (51645)",0
StraÃŸe, Brilon (59919),381.290 4.494,4 Zimmer,"84,8 m²",1.390 m² Grundstuck,https://www.immowelt.de/expose/02e0be52-3b56-42d1-a678-f62724ce45b3,2756,"StraÃŸe,  Brilon (59919)",0
Hulsenbusch, Gummersbach (51647),89.500 1.728,1 Zimmer,"51,8 m²",Unknown,https://www.immowelt.de/expose/31726811-d382-43a3-bee5-849ffae929ac,2756,"Hulsenbusch,  Gummersbach (51647)",48
Unnenberg, Gummersbach (51647),369.000 1.942,6 Zimmer,190 m²,896 m² Grundstuck,https://www.immowelt.de/expose/34177429-3d57-4bd5-92e2-1c188c8507d0,2756,"Unnenberg,  Gummersbach (51647)",3
Bernberg, Gummersbach (51647),1.360.000 2.012,676 m²,1.067 m² Grundstuck,Unknown,https://www.immowelt.de/expose/8caf98b0-daa0-4149-8d85-8ce735c439cb,2756,"Bernberg,  Gummersbach (51647)",126
Bernberg, Gummersbach (51647),1.360.000 2.012,676 m²,1.067 m² Grundstuck,Unknown,https://www.immowelt.de/expose/12822209-caa7-42aa-867d-560dee38291c,2756,"Bernberg,  Gummersbach (51647)",126
Gummersbach, Gummersbach (51643),759.000 4.264,7 Zimmer,178 m²,199 m² Grundstuck,https://www.immowelt.de/expose/e0a1caf5-ebd9-4d27-a9df-9afe89724560,2756,"Gummersbach,  Gummersbach (51643)",322
Brunohl, Gummersbach (51645),285.000 4.033,3 Zimmer,"70,7 m²",Unknown,https://www.immowelt.de/expose/7706de83-6cf4-4347-9edd-bf112c2af953,2756,"Brunohl,  Gummersbach (51645)",13
Gummersbach, Gummersbach (51643),319.000 3.709,3 Zimmer,86 m²,2. Geschoss,https://www.immowelt.de/expose/626c8b09-45c7-459a-a47a-a93a22fb3d1e,2756,"Gummersbach,  Gummersbach (51643)",322
Gummersbach, Gummersbach (51643),319.000 3.467,2 Zimmer,92 m²,1. Geschoss,https://www.immowelt.de/expose/01a7380c-e950-45b3-84f7-2176ccaf3ae5,2756,"Gummersbach,  Gummersbach (51643)",322
Strombach, Gummersbach (51643),179.000 1.444,124 m²,687 m² Grundstuck,Unknown,https://www.immowelt.de/expose/4a931bc4-b9e4-47cd-affc-91b726a3cb6d,2756,"Strombach,  Gummersbach (51643)",65
Strombach, Gummersbach (51643),179.000 1.444,6 Zimmer,124 m²,687 m² Grundstuck,https://www.immowelt.de/expose/329b82d0-7d3c-43b2-9d4a-d931cae3c4df,2756,"Strombach,  Gummersbach (51643)",65
Hesselbach, Gummersbach (51647),429.000 1.202,15 Zimmer,357 m²,924 m² Grundstuck,https://www.immowelt.de/expose/15904b8f-d1e8-45a4-be2f-2ece3eccb577,2756,"Hesselbach,  Gummersbach (51647)",98
Bernberg, Gummersbach (51647),79.000 929,3 Zimmer,85 m²,Unknown,https://www.immowelt.de/expose/acd6ee35-64a0-4313-971c-6be8bfbc278e,2756,"Bernberg,  Gummersbach (51647)",126
Derschlag, Gummersbach (51645),319.000 2.848,4 Zimmer,112 m²,661 m² Grundstuck,https://www.immowelt.de/expose/a3857742-e7c9-49d9-ae9b-a4e2b2ce8124,2756,"Derschlag,  Gummersbach (51645)",81
Gummersbach, Gummersbach (51643),870.000 3.021,10 Zimmer,288 m²,351 m² Grundstuck,https://www.immowelt.de/expose/39323e38-c1a0-4e04-943d-701f022be537,2756,"Gummersbach,  Gummersbach (51643)",322
Gummersbach, Gummersbach (51643),98.000 2.432,1 Zimmer,"40,3 m²",3. Geschoss,https://www.immowelt.de/expose/0e4bdf32-103f-4e9b-adae-653788481662,2756,"Gummersbach,  Gummersbach (51643)",322
Gummersbach, Gummersbach (51643),260.000 2.374,4 Zimmer,"109,5 m²",4. Geschoss,https://www.immowelt.de/expose/cc896fb3-ab66-439e-815c-c31a60329cc8,2756,"Gummersbach,  Gummersbach (51643)",322
