Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Hochemmerich, Duisburg (47226),616.300 3.177,194 m²,Unknown,Unknown,https://www.immowelt.de/expose/5439b6f0-2193-4e01-b91b-fa970f06ddb1,4131,"Hochemmerich,  Duisburg (47226)",233
Mittelmeiderich, Duisburg (47137),79.000 1.463,2 Zimmer,"54,1 m²",EG,https://www.immowelt.de/expose/8897fba7-4b26-44b7-beb8-48bf0ee301fb,4131,"Mittelmeiderich,  Duisburg (47137)",246
Asberg, Moers (47441),66.000 1.368,1 Zimmer,"48,2 m²",3. Geschoss,https://www.immowelt.de/expose/009c8df1-44d1-4126-b8a8-4752b58fdc6e,4131,"Asberg,  Moers (47441)",136
Schaag, Nettetal (41334),419.000 3.174,4 Zimmer,132 m²,450 m² Grundstuck,https://www.immowelt.de/expose/56a94fd6-3e74-4f48-b93a-9dadbebd53b1,4135,"Schaag,  Nettetal (41334)",43
Kaldenkirchen, Nettetal (41334),490.000 4.336,113 m²,Unknown,Unknown,https://www.immowelt.de/expose/c0765670-b8dd-45f3-9943-52bb91536233,4135,"Kaldenkirchen,  Nettetal (41334)",131
Breyell, Nettetal (41334),195.000 2.267,3 Zimmer,86 m²,Unknown,https://www.immowelt.de/expose/efcbb4fe-8ba7-4f61-9ce9-efa11b50cf5a,4135,"Breyell,  Nettetal (41334)",108
Kaldenkirchen, Nettetal (41334),450.000 2.273,6 Zimmer,198 m²,1.419 m² Grundstuck,https://www.immowelt.de/expose/f8fdd129-2af2-43fa-b88a-cbfbaee77aec,4135,"Kaldenkirchen,  Nettetal (41334)",131
Breyell, Nettetal -Hinsbeck (41334),159.000 1.353,4 Zimmer,"117,5 m²",193 m² Grundstuck,https://www.immowelt.de/expose/aa4fad4a-d3f0-4192-9b23-72be130248f3,4135,"Breyell,  Nettetal -Hinsbeck (41334)",0
Breyell, Nettetal (41334),221.000 3.453,64 m²,Unknown,Unknown,https://www.immowelt.de/expose/731c04e9-9bcc-4d6f-99f0-45369f981676,4135,"Breyell,  Nettetal (41334)",108
Schaag, Nettetal (41334),474.529 3.796,4 Zimmer,125 m²,440 m² Grundstuck,https://www.immowelt.de/expose/ff776010-1e42-48d9-bd22-02ed8173c334,4135,"Schaag,  Nettetal (41334)",43
Schaag, Nettetal (41334),495.355 3.669,5 Zimmer,135 m²,480 m² Grundstuck,https://www.immowelt.de/expose/ae3691d3-4f9c-415e-9087-fb9d57a1090c,4135,"Schaag,  Nettetal (41334)",43
Leuth, Nettetal (41334),165.000 1.833,3 Zimmer,90 m²,373 m² Grundstuck,https://www.immowelt.de/expose/330f1ebc-7fa2-4826-b07d-da7827e1fb70,4135,"Leuth,  Nettetal (41334)",18
Schaag, Nettetal (41334),509.281 3.561,4 Zimmer,143 m²,500 m² Grundstuck,https://www.immowelt.de/expose/7d002cc4-0bf3-40b7-8bc6-fc6faa5bcdef,4135,"Schaag,  Nettetal (41334)",43
Leuth, Nettetal (41334),659.000 3.138,6 Zimmer,210 m²,925 m² Grundstuck,https://www.immowelt.de/expose/bceb8db9-5188-4c68-bdf9-3a6bdc6f7c4b,4135,"Leuth,  Nettetal (41334)",18
Breyell, Nettetal -Lobberich (41334),189.000 2.038,3 Zimmer,"92,7 m²",Unknown,https://www.immowelt.de/expose/cca96882-ac60-4921-a85e-92bd9e7eb2c1,4135,"Breyell,  Nettetal -Lobberich (41334)",63
Breyell, Nettetal (41334),486.421 3.474,4 Zimmer,140 m²,520 m² Grundstuck,https://www.immowelt.de/expose/e7086aa8-a1f2-4dc1-ba47-42eaf67fb958,4135,"Breyell,  Nettetal (41334)",108
Breyell, Nettetal -Lobberich (41334),299.000 2.047,6 Zimmer,"146,1 m²",Unknown,https://www.immowelt.de/expose/024ce429-6093-4c9c-a6d6-3fa12ebf32b4,4135,"Breyell,  Nettetal -Lobberich (41334)",63
Breyell, Nettetal -SCHAAG (41334),299.000 2.085,5 Zimmer,"143,4 m²",Unknown,https://www.immowelt.de/expose/6011cbce-d0c5-493f-a7b0-c8cd377a9ec7,4135,"Breyell,  Nettetal -SCHAAG (41334)",90
Lobberich, Nettetal (41334),720.000 1.752,411 m²,685 m² Grundstuck,Unknown,https://www.immowelt.de/expose/9bc580d1-c5a3-4058-8b56-c3183c1aa851,4135,"Lobberich,  Nettetal (41334)",231
Leutherheide, Nettetal (41334),175.000 1.522,4 Zimmer,115 m²,586 m² Grundstuck,https://www.immowelt.de/expose/00e182bd-0e2a-4dee-88a3-f222b56872a0,4135,"Leutherheide,  Nettetal (41334)",5
Schaag, Nettetal (41334),349.000 2.059,7 Zimmer,"169,5 m²",966 m² Grundstuck,https://www.immowelt.de/expose/68e6a654-beca-4532-999f-fe8afd2616e7,4135,"Schaag,  Nettetal (41334)",43
Kaldenkirchen, Nettetal (41334),490.000 4.336,4 Zimmer,113 m²,465 m² Grundstuck,https://www.immowelt.de/expose/b4cba608-7f26-48b7-86a0-25823d8bc3e1,4135,"Kaldenkirchen,  Nettetal (41334)",131
Kaldenkirchen, Nettetal (41334),490.000 4.336,113 m²,465 m² Grundstuck,Unknown,https://www.immowelt.de/expose/a7bab24f-3252-44bb-aaf8-e5deb4715524,4135,"Kaldenkirchen,  Nettetal (41334)",131
Breyell, Nettetal-Kaldenkirchen (41334),555.000 1.901,9 Zimmer,292 m²,1.300 m² Grundstuck,https://www.immowelt.de/expose/daeb90a7-d02b-46bc-873e-65ef9799b974,4135,"Breyell,  Nettetal-Kaldenkirchen (41334)",0
Breyell, Nettetal-Kaldenkirchen (41334),555.000 1.901,9 Zimmer,292 m²,1.300 m² Grundstuck,https://www.immowelt.de/expose/ef7d867a-922c-4769-8be7-291a0d9fef2e,4135,"Breyell,  Nettetal-Kaldenkirchen (41334)",0
