Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Herford-Stadt, Herford (32051),Preis auf Anfrage,9 Zimmer,250 m²,1.100 m² Grundstuck,https://www.immowelt.de/expose/7f96a762-e8ce-4c7e-9727-34db3ef179f2,3370,"Herford-Stadt,  Herford (32051)",443
Herford-Stadt, Herford (32051),198.000 990,5 Zimmer,200 m²,520 m² Grundstuck,https://www.immowelt.de/expose/d4a9ba2b-7011-442c-a81c-81867de9b582,3370,"Herford-Stadt,  Herford (32051)",443
Herford-Stadt, Herford (32051),699.990 1.882,16 Zimmer,372 m²,557 m² Grundstuck,https://www.immowelt.de/expose/e7eeddaf-9852-460f-8597-bc9e08b549b7,3370,"Herford-Stadt,  Herford (32051)",443
Laar, Diebrock (32051),433.199 3.046,4 Zimmer,"142,2 m²",602 m² Grundstuck,https://www.immowelt.de/expose/0c32d6c2-9753-4022-97b0-d83ae0b08180,3370,"Laar,  Diebrock (32051)",16
Herford-Stadt, Herford (32049),129.900 962,5 Zimmer,135 m²,Unknown,https://www.immowelt.de/expose/24b16de1-c31b-4759-bb33-c8dc54c45451,3370,"Herford-Stadt,  Herford (32049)",443
Herford-Stadt, Herford (32049),420.000 3.000,6 Zimmer,140 m²,11.000 m² Grundstuck,https://www.immowelt.de/expose/adb0a861-2bf1-4e5a-8299-a90492c8dc9d,3370,"Herford-Stadt,  Herford (32049)",443
Herford-Stadt, Herford (32049),295.000 2.810,4 Zimmer,105 m²,560 m² Grundstuck,https://www.immowelt.de/expose/e558d454-48df-4985-bc42-a100984dfe2f,3370,"Herford-Stadt,  Herford (32049)",443
Herford-Stadt, Herford (32049),244.000 2.360,3 Zimmer,"103,4 m²",306 m² Grundstuck,https://www.immowelt.de/expose/6bba6319-3a5d-472c-a701-544933fd5742,3370,"Herford-Stadt,  Herford (32049)",443
Herford-Stadt, Herford (32049),429.990 3.583,5 Zimmer,120 m²,311 m² Grundstuck,https://www.immowelt.de/expose/85955c9e-e506-4a85-9544-fb2d76a6ec2d,3370,"Herford-Stadt,  Herford (32049)",443
Herford-Stadt, Herford (32051),295.000 1.509,10 Zimmer,130 m²,371 m² Grundstuck,https://www.immowelt.de/expose/d23e89a4-cf24-4ee8-b076-81ff24a36dda,3370,"Herford-Stadt,  Herford (32051)",443
Herford-Stadt, Herford (32052),589.109 4.532,5 Zimmer,130 m²,877 m² Grundstuck,https://www.immowelt.de/expose/e8c33472-5c64-4d38-9db7-ae378e2941e4,3370,"Herford-Stadt,  Herford (32052)",443
Herford-Stadt, Herford (32049),110.000 1.845,2 Zimmer,"59,6 m²",1. Geschoss,https://www.immowelt.de/expose/7fadce19-1e85-4415-b1c5-702e4f1c7946,3370,"Herford-Stadt,  Herford (32049)",443
Herford-Stadt, Herford (32051),689.000 1.862,14 Zimmer,370 m²,537 m² Grundstuck,https://www.immowelt.de/expose/ade95926-c20e-47b0-8705-6691941fd642,3370,"Herford-Stadt,  Herford (32051)",443
Herford-Stadt, Herford (32049),3.175.244 3.403,32 Zimmer,"933,1 m²","2.001,4 m² Grundstuck",https://www.immowelt.de/expose/c09d6ff7-0681-4895-9e0f-eb6a532edc43,3370,"Herford-Stadt,  Herford (32049)",443
Elverdissen, Herford (32052),1.095.000 2.717,8 Zimmer,403 m²,2.135 m² Grundstuck,https://www.immowelt.de/expose/3130fb47-ec37-42cb-98a5-9b869af352e0,3370,"Elverdissen,  Herford (32052)",15
Herford-Stadt, Herford (32052),1.430.000 2.150,14 Zimmer,665 m²,181 m² Grundstuck,https://www.immowelt.de/expose/3b04648a-0fb1-4621-bbf4-1eaa181162f0,3370,"Herford-Stadt,  Herford (32052)",443
Herford-Stadt, Herford (32049),319.000 2.535,3 Zimmer,"125,8 m²",870 m² Grundstuck,https://www.immowelt.de/expose/0afaeb90-fba8-48b4-bb5e-cf15aaadd540,3370,"Herford-Stadt,  Herford (32049)",443
