Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
HemelingstraÃŸe 4, Hannover (30419),294.000 3.303,3 Zimmer,89 m²,3. Geschoss,https://www.immowelt.de/expose/1b328748-c748-4c5d-9b23-cbeb3043c35e,4044,"HemelingstraÃŸe 4,  Hannover (30419)",0
Muhlenberg, Hannover (30457),89.000 1.510,1 Zimmer,59 m²,4. Geschoss,https://www.immowelt.de/expose/053e0047-88d7-4b5e-8705-c444234b9ebd,4044,"Muhlenberg,  Hannover (30457)",155
Mittelfeld, Hannover-Mittelfeld (30519),570.000 3.221,9 Zimmer,177 m²,748 m² Grundstuck,https://www.immowelt.de/expose/0ba4d0ec-5140-4113-aa5f-9fa909c4c6b2,4044,"Mittelfeld,  Hannover-Mittelfeld (30519)",76
Herrenhausen, Hannover (30419),185.000 2.803,3 Zimmer,66 m²,2. Geschoss,https://www.immowelt.de/expose/1087ff64-ce15-4e37-ab2d-ec0e907fa8f8,4044,"Herrenhausen,  Hannover (30419)",63
BÃ¶hmerwaldstraÃŸe, Hannover (30559),979.000 4.491,8 Zimmer,218 m²,640 m² Grundstuck,https://www.immowelt.de/expose/809a6733-738c-4dcf-acd7-9b5d85f7050a,4044,"BÃ¶hmerwaldstraÃŸe,  Hannover (30559)",0
Muhlenberg, Hannover (30457),240.000 2.410,3 Zimmer,"99,6 m²",3. Geschoss,https://www.immowelt.de/expose/e698adbe-2fa3-4901-b0ee-ac857dde40a6,4044,"Muhlenberg,  Hannover (30457)",155
Waldheim, Hannover / Sudstadt (30173),268.900 3.021,3 Zimmer,89 m²,2. Geschoss,https://www.immowelt.de/expose/0a673715-5dd9-4d68-b5e5-5c008c85218f,4044,"Waldheim,  Hannover / Sudstadt (30173)",0
Sahlkamp, Hannover / Sahlkamp (30179),690.000 4.235,4 Zimmer,160 m²,520 m² Grundstuck,https://www.immowelt.de/expose/55abb4a8-2890-47be-8cf3-dbe03a668e43,4044,"Sahlkamp,  Hannover / Sahlkamp (30179)",85
OverbeckstraÃŸe 5, Hannover - List (30177),455.000 6.465,2 Zimmer,"70,4 m²",Unknown,https://www.immowelt.de/expose/ac4bb9a8-0efb-4949-ab09-bc6caebed981,4044,"OverbeckstraÃŸe 5,  Hannover - List (30177)",0
Davenstedt, Hannover (30455),465.500 3.665,127 m²,400 m² Grundstuck,Unknown,https://www.immowelt.de/expose/aaf45181-1e93-43cc-83bf-5b513d0ed986,4044,"Davenstedt,  Hannover (30455)",185
