Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Lurup, Hamburg / Lurup (22547),895.000 5.808,4 Zimmer,"154,1 m²",936 m² Grundstuck,https://www.immowelt.de/expose/3cc6995b-fe79-4e47-8819-35ca267dc05d,5521,"Lurup,  Hamburg / Lurup (22547)",117
Bockhorster HÃ¶he 186, Hamburg (21031),539.000 5.183,4 Zimmer,104 m²,226 m² Grundstuck,https://www.immowelt.de/expose/f5f6c44d-2130-4edd-bce2-c90159cabc59,5521,"Bockhorster HÃ¶he 186,  Hamburg (21031)",0
EiÃŸendorf, Hamburg (21073),570.000 6.706,3 Zimmer,85 m²,EG,https://www.immowelt.de/expose/0d32297e-836e-40d4-b9ab-0795794bc2e7,5521,"EiÃŸendorf,  Hamburg (21073)",0
Othmarschen, Hamburg (22605),1.295.000 7.000,5 Zimmer,185 m²,291 m² Grundstuck,https://www.immowelt.de/expose/c711bd13-66ee-4e88-bb6d-8ee3525f28b3,5521,"Othmarschen,  Hamburg (22605)",227
Langenhorn, Hamburg (22415),368.000 3.833,4 Zimmer,96 m²,155 m² Grundstuck,https://www.immowelt.de/expose/102b7835-c372-44a5-aa0c-1d8d49e6beaf,5521,"Langenhorn,  Hamburg (22415)",69
Niendorf, Hamburg (22453),795.000 5.889,3 Zimmer,135 m²,1.065 m² Grundstuck,https://www.immowelt.de/expose/9ea967b1-3f5f-44aa-b249-d8d201b034a0,5521,"Niendorf,  Hamburg (22453)",102
Winterhude, Hamburg (22303),699.000 7.532,"2,5 Zimmer","92,8 m²",4. Geschoss,https://www.immowelt.de/expose/5daa2353-23d6-4482-944b-90f9efebf67f,5521,"Winterhude,  Hamburg (22303)",397
EiÃŸendorf, Hamburg (21077),399.999 3.333,5 Zimmer,120 m²,Unknown,https://www.immowelt.de/expose/b8b08516-f8dc-4fb4-b8ac-a7abbb3c6c59,5521,"EiÃŸendorf,  Hamburg (21077)",0
Poppenbuttel, Hamburg (22399),359.000 5.129,3 Zimmer,70 m²,frei ab sofort,https://www.immowelt.de/expose/c51ab7c3-ff40-4c41-8d01-b17fd28d4045,5521,"Poppenbuttel,  Hamburg (22399)",165
Sasel, Hamburg (22393),398.400 1.958,4 Zimmer,"203,5 m²",850 m² Grundstuck,https://www.immowelt.de/expose/a1528b8e-834d-4a13-8463-4b731d5d6725,5521,"Sasel,  Hamburg (22393)",0
Lemsahl - Mellingstedt, Hamburg (22397),1.175.000 6.831,5 Zimmer,172 m²,887 m² Grundstuck,https://www.immowelt.de/expose/b91c3c1b-7e65-4f49-b6cd-4e180ba6e661,5521,"Lemsahl - Mellingstedt,  Hamburg (22397)",0
Rahlstedt, Hamburg (22149),1.146.750 6.553,5 Zimmer,175 m²,830 m² Grundstuck,https://www.immowelt.de/expose/fdeab807-e80b-4384-969b-889de33e57e3,5521,"Rahlstedt,  Hamburg (22149)",389
Lemsahl - Mellingstedt, Hamburg (22397),435.000 3.750,3 Zimmer,116 m²,640 m² Grundstuck,https://www.immowelt.de/expose/2e02806d-e0a2-4b4e-a5e1-1ce611812507,5521,"Lemsahl - Mellingstedt,  Hamburg (22397)",24
Poppenbuttel, Hamburg (22399),599.000 3.941,5 Zimmer,152 m²,Unknown,https://www.immowelt.de/expose/fb0dc3d9-a3ed-45d6-9ee2-dafa37dd4109,5521,"Poppenbuttel,  Hamburg (22399)",0
Volksdorf, Hamburg (22359),635.000 5.248,3 Zimmer,121 m²,350 m² Grundstuck,https://www.immowelt.de/expose/d3502ac8-289c-4b17-9f41-ef2ec2987500,5521,"Volksdorf,  Hamburg (22359)",0
Poppenbuttel, Hamburg (22399),469.000 4.330,4 Zimmer,106 m²,3. Geschoss,https://www.immowelt.de/expose/3ad8b58d-c6ee-48fa-927c-21b52f8938da,5521,"Poppenbuttel,  Hamburg (22399)",165
Aalwisch 11, Hamburg (22395),622.254 4.644,5 Zimmer,134 m²,450 m² Grundstuck,https://www.immowelt.de/expose/7630f8cf-f4d9-43ef-bd80-458dde5414d9,5521,"Aalwisch 11,  Hamburg (22395)",0
Sasel, Hamburg (22393),1.450.000 6.651,6 Zimmer,218 m²,1.229 m² Grundstuck,https://www.immowelt.de/expose/5a66f3c8-7654-44dd-9ea1-bbea4ed3978c,5521,"Sasel,  Hamburg (22393)",0
