Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Neu Harmstorf, Bentwisch (18182),363.388 4.319,3 Zimmer,"84,1 m²",1. Geschoss,https://www.immowelt.de/expose/a1e4488f-8d1d-4ed4-b844-9e520267fc6a,71,"Neu Harmstorf,  Bentwisch (18182)",0
Lichtenhagen, Elmenhorst/Lichtenhagen (18107),169.000 2.817,3 Zimmer,60 m²,1. Geschoss,https://www.immowelt.de/expose/23622a1b-b372-466a-8694-1f764572642b,71,"Lichtenhagen,  Elmenhorst/Lichtenhagen (18107)",63
Lichtenhagen, Elmenhorst/Lichtenhagen (18107),455.256 4.553,4 Zimmer,100 m²,500 m² Grundstuck,https://www.immowelt.de/expose/f998fa78-3a7d-4db7-97b0-69257b71231e,71,"Lichtenhagen,  Elmenhorst/Lichtenhagen (18107)",63
Lichtenhagen, Rostock (18107),439.000 3.512,4 Zimmer,125 m²,550 m² Grundstuck,https://www.immowelt.de/expose/a3b754a3-ed0e-42ad-afb6-ab8018379722,71,"Lichtenhagen,  Rostock (18107)",156
Lichtenhagen, Rostock (18107),579.000 2.924,6 Zimmer,198 m²,867 m² Grundstuck,https://www.immowelt.de/expose/8548e46e-fcfa-47c7-9256-619103ac7c03,71,"Lichtenhagen,  Rostock (18107)",156
Harmstorf, Bentwisch (18182),369.000 2.050,6 Zimmer,180 m²,808 m² Grundstuck,https://www.immowelt.de/expose/40004bf4-e269-4617-a32b-899407dfbf64,71,"Harmstorf,  Bentwisch (18182)",0
Lichtenhagen, Elmenhorst/Lichtenhagen (18107),140.000 1.944,3 Zimmer,72 m²,125 m² Grundstuck,https://www.immowelt.de/expose/33d83e53-ee17-4400-9446-7781f6de63ee,71,"Lichtenhagen,  Elmenhorst/Lichtenhagen (18107)",63
Sildemow, Papendorf (18059),445.000 1.348,6 Zimmer,330 m²,971 m² Grundstuck,https://www.immowelt.de/expose/d9e75fa3-ad69-45bb-a4d9-07ba1e8c8804,71,"Sildemow,  Papendorf (18059)",10
Lichtenhagen, Elmenhorst-Lichtenhagen (18107),529.000 2.425,9 Zimmer,"218,1 m²",888 m² Grundstuck,https://www.immowelt.de/expose/a27b8b9a-3df7-4125-82fd-00d560d6acc5,71,"Lichtenhagen,  Elmenhorst-Lichtenhagen (18107)",63
Klein SchwaÃŸ, Kritzmow / Klein SchwaÃŸ (18198),729.000 5.063,4 Zimmer,144 m²,721 m² Grundstuck,https://www.immowelt.de/expose/39d95358-4823-414c-95b6-479efefac535,71,"Klein SchwaÃŸ,  Kritzmow / Klein SchwaÃŸ (18198)",0
Bargeshagen, Admannshagen-Bargeshagen (18211),345.000 2.091,"5,5 Zimmer",165 m²,956 m² Grundstuck,https://www.immowelt.de/expose/a56ee64e-15bd-441a-94f8-13ff29fad8bf,71,"Bargeshagen,  Admannshagen-Bargeshagen (18211)",56
HÃ¤schendorf, MÃ¶nchhagen (18182),450.000 3.629,4 Zimmer,124 m²,500 m² Grundstuck,https://www.immowelt.de/expose/50b93b1c-56b9-4362-9610-b42335fafe17,71,"HÃ¤schendorf,  MÃ¶nchhagen (18182)",0
Kritzmow, Rostock (18057),349.000 2.624,4 Zimmer,133 m²,450 m² Grundstuck,https://www.immowelt.de/expose/50d780f5-5fa4-4a71-8293-116996a84f70,71,"Kritzmow,  Rostock (18057)",39
Lichtenhagen, Elmenhorst/Lichtenhagen (18107),459.500 3.259,5 Zimmer,141 m²,500 m² Grundstuck,https://www.immowelt.de/expose/e46eb0d3-0f4c-44a4-837f-4fe07458b494,71,"Lichtenhagen,  Elmenhorst/Lichtenhagen (18107)",63
Admannshagen, Admannshagen-Bargeshagen (18211),757.000 4.731,5 Zimmer,160 m²,2.933 m² Grundstuck,https://www.immowelt.de/expose/e7d40830-a94b-490b-9b23-78c3b7df74e1,71,"Admannshagen,  Admannshagen-Bargeshagen (18211)",5
Pastow, Broderstorf (18184),395.000 1.381,7 Zimmer,286 m²,450 m² Grundstuck,https://www.immowelt.de/expose/ba5e4f42-18e9-4152-b053-592dc0d58d69,71,"Pastow,  Broderstorf (18184)",11
Elmenhorst, Elmenhorst-Lichtenhagen (18107),699.995 4.167,5 Zimmer,168 m²,650 m² Grundstuck,https://www.immowelt.de/expose/19d086d5-9fa7-466f-b86d-409070607261,71,"Elmenhorst,  Elmenhorst-Lichtenhagen (18107)",49
Elmenhorst, Elmenhorst-Lichtenhagen (18107),557.231 3.980,5 Zimmer,140 m²,750 m² Grundstuck,https://www.immowelt.de/expose/82003588-fc1e-4fcc-bfad-6ed6091dd423,71,"Elmenhorst,  Elmenhorst-Lichtenhagen (18107)",49
Klein SchwaÃŸ, Kritzmow (18198),550.000 2.500,7 Zimmer,220 m²,1.184 m² Grundstuck,https://www.immowelt.de/expose/ead68005-c87e-4355-b2dd-ba50f74ce414,71,"Klein SchwaÃŸ,  Kritzmow (18198)",0
Ailingen 1, Friedrichshafen (88048),3.250.000 7.471,15 Zimmer,435 m²,1.193 m² Grundstuck,https://www.immowelt.de/expose/aad0961d-1a51-45ba-b272-5c6a4b7352ed,71,"Ailingen 1,  Friedrichshafen (88048)",158
Friedrichshafen - Mitte 2, Friedrichshafen (88045),198.000 3.143,3 Zimmer,63 m²,1. Geschoss,https://www.immowelt.de/expose/9961f2c1-6587-44a3-b323-6713b8726c8d,71,"Friedrichshafen - Mitte 2,  Friedrichshafen (88045)",0
Friedrichshafen - West 2, Friedrichshafen (88045),290.000 3.836,4 Zimmer,"75,6 m²",3. Geschoss,https://www.immowelt.de/expose/893c8baa-05a0-448e-80f3-4f94c88006b3,71,"Friedrichshafen - West 2,  Friedrichshafen (88045)",0
FriedrichstraÃŸe 59, Friedrichshafen (88045),945.000 9.356,"3,5 Zimmer",101 m²,3. Geschoss,https://www.immowelt.de/expose/b9953338-fd1b-41f6-bf5b-108623b189db,71,"FriedrichstraÃŸe 59,  Friedrichshafen (88045)",0
Friedrichshafen - Ost 1, Friedrichshafen (88045),299.000 4.365,3 Zimmer,"68,5 m²",frei ab 01.12.2024,https://www.immowelt.de/expose/afabc61f-58f0-44e4-a87e-1375a161a6b1,71,"Friedrichshafen - Ost 1,  Friedrichshafen (88045)",0
Klufterner StraÃŸe 151, Friedrichshafen (88048),539.000 6.236,3 Zimmer,"86,4 m²",EG,https://www.immowelt.de/expose/5ed0306a-af0f-400b-b1f5-e5a1c7a25e80,71,"Klufterner StraÃŸe 151,  Friedrichshafen (88048)",0
Friedrichshafen - West 3, Friedrichshafen (88045),579.700 6.019,"3,5 Zimmer","96,3 m²",Unknown,https://www.immowelt.de/expose/79f27265-2502-46d7-9c49-0dff9b154c28,71,"Friedrichshafen - West 3,  Friedrichshafen (88045)",0
Friedrichshafen - Mitte 3, Friedrichshafen (88045),495.000 5.000,3 Zimmer,99 m²,Unknown,https://www.immowelt.de/expose/45655928-6a5b-4846-8d48-9c14fe3d3290,71,"Friedrichshafen - Mitte 3,  Friedrichshafen (88045)",0
Friedrichshafen - Mitte 1, Friedrichshafen (88046),335.000 3.573,"3,5 Zimmer","93,8 m²",1. Geschoss,https://www.immowelt.de/expose/bc34ed58-a53f-470e-8f25-de5ea0e2d9a2,71,"Friedrichshafen - Mitte 1,  Friedrichshafen (88046)",0
Friedrichshafen - West 3, Friedrichshafen (88045),268.000 5.218,2 Zimmer,"51,4 m²",2. Geschoss,https://www.immowelt.de/expose/7e4a62f8-25de-41a6-b366-8d435a1aa9dc,71,"Friedrichshafen - West 3,  Friedrichshafen (88045)",0
Friedrichshafen - West 3, Friedrichshafen (88045),1.100.000 8.871,4 Zimmer,124 m²,5. Geschoss,https://www.immowelt.de/expose/78608490-39a4-489b-bd30-e003fa86c8e2,71,"Friedrichshafen - West 3,  Friedrichshafen (88045)",0
