Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Kladow, Berlin (14089),1.000.000 4.348,8 Zimmer,230 m²,1.200 m² Grundstuck,https://www.immowelt.de/expose/be65ee5b-746f-447b-954b-9dfd3a9f7a5c,1219,"Kladow,  Berlin (14089)",116
Charlottenburg, Berlin (10589),319.000 4.557,2 Zimmer,70 m²,3. Geschoss,https://www.immowelt.de/expose/103c7e68-9875-4ddf-a63d-403b8b2bdf03,1219,"Charlottenburg,  Berlin (10589)",1343
Hermsdorf, Berlin (13467),539.000 5.615,3 Zimmer,96 m²,Unknown,https://www.immowelt.de/expose/7ef2f699-00e1-45d3-8d53-a52c3f16caaa,1219,"Hermsdorf,  Berlin (13467)",223
Alt-HohenschÃ¶nhausen, Berlin (13053),449.000 3.742,5 Zimmer,120 m²,524 m² Grundstuck,https://www.immowelt.de/expose/43f54b48-db6e-4ce2-b276-2cedaad69453,1219,"Alt-HohenschÃ¶nhausen,  Berlin (13053)",0
Schmargendorf, Berlin (14193),990.000 3.956,9 Zimmer,"250,3 m²",400 m² Grundstuck,https://www.immowelt.de/expose/d4ff0f55-2b08-4caa-a61d-d2d4b5113da7,1219,"Schmargendorf,  Berlin (14193)",321
Wannsee, Berlin (14109),890.000 8.900,5 Zimmer,100 m²,100 m² Grundstuck,https://www.immowelt.de/expose/3281d1c6-9a08-488f-b4a6-0dcc68985b41,1219,"Wannsee,  Berlin (14109)",107
Lubars, Berlin (13469),210.000 3.100,2 Zimmer,"67,8 m²",Unknown,https://www.immowelt.de/expose/498c50c8-7af8-4705-b1d3-b9d7e9cd64eb,1219,"Lubars,  Berlin (13469)",76
WeiÃŸensee, Berlin (13088),838.750 8.000,5 Zimmer,"104,8 m²",frei ab sofort,https://www.immowelt.de/expose/5341d96c-682f-4e9c-86d0-30332b2a2869,1219,"WeiÃŸensee,  Berlin (13088)",0
WeiÃŸensee, Berlin (13088),838.750 8.000,5 Zimmer,"104,8 m²",50 m² Grundstuck,https://www.immowelt.de/expose/fd758129-b25a-475d-8912-1264d0e09850,1219,"WeiÃŸensee,  Berlin (13088)",0
NeukÃ¶lln, Berlin (12047),449.000 7.016,2 Zimmer,64 m²,frei ab sofort,https://www.immowelt.de/expose/3680509a-2a0c-4c21-b728-590a0a860f45,1219,"NeukÃ¶lln,  Berlin (12047)",0
Wedding, Berlin (13349),392.000 5.521,3 Zimmer,71 m²,frei ab sofort,https://www.immowelt.de/expose/a72288fd-4423-4c9a-a4b2-8754afb4e226,1219,"Wedding,  Berlin (13349)",960
Reinickendorf, Berlin (13409),499.000 4.708,4 Zimmer,"106,1 m²",2. Geschoss,https://www.immowelt.de/expose/f31d4f24-0314-4c52-bcd1-964482f14acf,1219,"Reinickendorf,  Berlin (13409)",70
Charlottenburg, Berlin (14059),370.000 5.000,74 m²,Unknown,Unknown,https://www.immowelt.de/expose/f802dc38-cf2a-4bdb-a127-972c7d229300,1219,"Charlottenburg,  Berlin (14059)",1343
Charlottenburg, Berlin (14059),470.000 5.529,85 m²,Unknown,Unknown,https://www.immowelt.de/expose/d076a69c-c3c5-4848-a2fd-5868bb9d6f5e,1219,"Charlottenburg,  Berlin (14059)",1343
Friedrichshain, Berlin (10247),3.650.000 2.092,1.745 m²,Unknown,Unknown,https://www.immowelt.de/expose/94699840-670c-43c8-9335-9b069a289bef,1219,"Friedrichshain,  Berlin (10247)",1098
Prenzlauer Berg, Berlin (10405),998.000 10.669,3 Zimmer,"93,5 m²",5. Geschoss,https://www.immowelt.de/expose/7c914896-2789-4dd7-bed0-741299cfa11d,1219,"Prenzlauer Berg,  Berlin (10405)",839
