Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Im Avelertal 81, Trier (54295),650.000 2.281,285 m²,3.298 m² Grundstuck,Unknown,https://www.immowelt.de/expose/98d6f1a6-6203-4483-9025-053009d09d9d,2659,"Im Avelertal 81,  Trier (54295)",100
Zewen 3, Trier (54294),355.000 3.227,"4,5 Zimmer",110 m²,1. Geschoss,https://www.immowelt.de/expose/314aa756-ce8e-446a-b78f-ba0ab04bf37c,2659,"Zewen 3,  Trier (54294)",89
Olewig 1, Trier (54295),298.500 2.228,4 Zimmer,134 m²,Unknown,https://www.immowelt.de/expose/94062ef8-a7b4-4ae3-a45d-ed93419a10de,2659,"Olewig 1,  Trier (54295)",142
SchloÃŸstr. 140, Trier (54293),766.000 3.028,10 Zimmer,253 m²,1. Geschoss,https://www.immowelt.de/expose/8fb68b91-3bf5-41b5-a415-e536ee1e7e22,2659,"SchloÃŸstr. 140,  Trier (54293)",0
Friedrich-Wilhelm-StraÃŸe 77, Trier (54290),671.000 5.001,4 Zimmer,"134,2 m²",frei ab sofort,https://www.immowelt.de/expose/35cd6248-2de8-4b45-9f5c-892bf963af64,2659,"Friedrich-Wilhelm-StraÃŸe 77,  Trier (54290)",0
Friedrich-Wilhelm-StraÃŸe 77, Trier (54290),367.000 4.804,3 Zimmer,"76,4 m²",Unknown,https://www.immowelt.de/expose/b8aab2f0-bd37-4e0d-8c49-1eaa3f289291,2659,"Friedrich-Wilhelm-StraÃŸe 77,  Trier (54290)",0
Friedrich-Wilhelm-StraÃŸe 77, Trier (54290),351.000 4.601,3 Zimmer,"76,3 m²",Unknown,https://www.immowelt.de/expose/29e2da09-fa6a-4e7f-81f6-7842093828ac,2659,"Friedrich-Wilhelm-StraÃŸe 77,  Trier (54290)",0
Friedrich-Wilhelm-StraÃŸe 77, Trier (54290),241.000 4.828,2 Zimmer,"49,9 m²",Unknown,https://www.immowelt.de/expose/37f3234e-4d08-49d7-bb44-b64f55f1380b,2659,"Friedrich-Wilhelm-StraÃŸe 77,  Trier (54290)",0
Alt-Heiligkreuz 1, Trier (54295),353.000 3.837,3 Zimmer,92 m²,2. Geschoss,https://www.immowelt.de/expose/67fc1f42-b81f-4f5d-9f3e-db7253b2a369,2659,"Alt-Heiligkreuz 1,  Trier (54295)",401
AlbanastraÃŸe 18, Trier (54290),644.000 2.077,310 m²,628 m² Grundstuck,Unknown,https://www.immowelt.de/expose/2e9e28f2-4642-4bf5-a684-9176054e28d0,2659,"AlbanastraÃŸe 18,  Trier (54290)",0
Im Hopfengarten 5, Trier (54295),190.000 3.034,2 Zimmer,"62,6 m²",Unknown,https://www.immowelt.de/expose/feddfc23-b744-4865-bc0a-c88c94cfaf83,2659,"Im Hopfengarten 5,  Trier (54295)",407
Altstadt 6, Trier (54290),1.500.000 3.370,20 Zimmer,445 m²,225 m² Grundstuck,https://www.immowelt.de/expose/fab8947e-3038-4457-8a19-ceb40b4070ae,2659,"Altstadt 6,  Trier (54290)",1119
Trier-West 1, Trier (54294),346.300 5.149,2 Zimmer,"67,3 m²",Unknown,https://www.immowelt.de/expose/cd204fed-9695-416b-8245-219fe61ceaf6,2659,"Trier-West 1,  Trier (54294)",285
Trier-West 1, Trier (54294),162.900 4.719,1 Zimmer,"34,5 m²",Unknown,https://www.immowelt.de/expose/ad1280eb-ea4f-4947-b6b3-309ef84dfebe,2659,"Trier-West 1,  Trier (54294)",285
