city_ID;City_name;population
249;Kitzingen;0
250;Zell a. Main;0
251;Waldbüttelbrunn;0
252;Waldbrunn, Irtenberger Wald;0
253;Unterpleichfeld;0
254;Üttingen, Holzkirchen;0
255;Thüngershem;0
256;Thüngen;0
257;Theilheim;0
258;Winterhausen;0
259;Röttingen, Tauberrettersheim;0
260;Riedenheim;0
261;Retzstadt;0
262;Remlingen;0
263;Prosselsheim;0
264;Neubrunn;0
265;Margetshöchheim;0
266;Leinach;0
267;Kürnach;0
268;Kleinrinderfeld;0
269;Kist, Irtenberger Wald;0
270;Kirchheim;0
271;Himmelstadt;0
272;Hettstadt;0
273;Helmstadt;0
274;Hausen b. Würzburg;0
275;Güntersleben;0
276;Greußenheim;0
277;Ippesheim;0
278;Geroldshausen;0
279;Gelchsheim, Sonderhofen;0
280;Gaukönigshofen;0
281;Frickenhausen;0
282;Erlabrunn;0
283;Eisenheim;0
284;Eibelstadt;0
285;Bütthard;0
286;Bieberehren;0
287;Bergtheim, Oberpleichfeld;0
288;Aub;0
289;Altertheim;0
290;Randersacker;0
291;Reichenberg, Guttenberger Wald;0
292;Giebelstadt;0
293;Estenfeld;0
294;Rottendorf;0
295;Zellingen;0
296;Rimpar;0
297;Gerbrunn;0
298;Uffenheim;0
299;Veitshöchheim;0
300;Höchberg;0
301;Ochsenfurt;0
302;Würzburg;0
303;Frankenblick, Schalkau, Bachfeld;0
304;Neuhaus-Schierschnitz, Judenbach;0
305;Steinach;0
306;Sonneberg;0
307;Niederfüllbach;0
308;Dörfles-Esbach;0
309;Lautertal;0
310;Meeder;0
311;Ahorn;0
312;Weitramsdorf;0
313;Rodach b. Coburg;0
314;Rödental;0
315;Neustadt b. Coburg;0
316;Coburg;41901
317;Weißenbrunn;0
318;Tschirn;0
319;Nordhalben;0
320;Marktrodach;0
321;Steinbach a. Wald;0
322;Teuschnitz;0
323;Tettau;0
324;Wilhelmsthal;0
325;Steinwiesen;0
326;Wallenfels;0
327;Stockheim;0
328;Ludwigsstadt;0
329;Pressig;0
330;Küps;0
331;Kronach;0
332;Weidhausen b. Coburg;0
333;Schneckenlohe;0
334;Marktzeuln;0
335;Itzgrund;0
336;Hochstadt a. Main;0
337;Grub a. Forst;0
338;Großheirath;0
