Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Innenstadt, Coburg (96450)",398.000 € 1.998 €/m²,5 Zimmer,"199,2 m²",920 m² Grundstück,https://www.immowelt.de/expose/12c87fde-64b9-4520-8baf-f278b10d94f6
"Innenstadt, Coburg (96450)",99.000 € 2.750 €/m²,1 Zimmer,36 m²,1. Geschoss,https://www.immowelt.de/expose/86cee552-5c3e-4215-bdee-528f157ad359
"Neuses, Coburg (96450)",835.000 € 6.007 €/m²,3 Zimmer,139 m²,Unknown,https://www.immowelt.de/expose/537e1a32-d7f1-48c5-89e0-8aef7cd7d2dc
"Neuses, Coburg (96450)",1.085.000 € 5.994 €/m²,4 Zimmer,181 m²,Unknown,https://www.immowelt.de/expose/88bbaefc-2736-47f3-9d38-c7e7ebbf7352
Unknown,Unknown,3 Zimmer,90 m²,EG,https://www.immowelt.de/projekte/expose/k27r732
Unknown,Unknown,2 Zimmer,64 m²,1. Geschoss,https://www.immowelt.de/projekte/expose/k27r732
"Neuses, Coburg (96450)",745.000 € 2.956 €/m²,6 Zimmer,252 m²,1.303 m² Grundstück,https://www.immowelt.de/expose/e5f2e912-6f84-43d1-bd3c-de79da6530ed
"Creidlitz, Coburg (96450)",370.000 € 2.643 €/m²,5 Zimmer,140 m²,565 m² Grundstück,https://www.immowelt.de/expose/982f50ac-fd20-43cf-8235-3be6c4cd3873
"Innenstadt, Coburg (96450)",729.000 € 2.025 €/m²,14 Zimmer,360 m²,450 m² Grundstück,https://www.immowelt.de/expose/786a8e90-07a6-4ca2-b19c-b21efb266033
"Innenstadt, Coburg (96450)",175.000 € 1.894 €/m²,4 Zimmer,"92,4 m²",4. Geschoss,https://www.immowelt.de/expose/0db79927-41eb-49be-8259-fd83c5279a05
"Innenstadt, Coburg (96450)",289.500 € 2.413 €/m²,4 Zimmer,120 m²,1. Geschoss,https://www.immowelt.de/expose/1f148302-8d71-47ac-9195-c6c956fe927a
"Innenstadt, Coburg (96450)",379.000 €,11 Zimmer,285 m² Grundstück,Unknown,https://www.immowelt.de/expose/8ea04b3e-01a4-46a0-b9b4-92040b341c4b
"Innenstadt, Coburg (96450)",285.000 € 2.415 €/m²,6 Zimmer,118 m²,255 m² Grundstück,https://www.immowelt.de/expose/297338e3-9cbb-4ee5-b6c1-a83bb703797a
"Cortendorf, Coburg (96450)",249.000 € 1.221 €/m²,"8,5 Zimmer","203,9 m²",215 m² Grundstück,https://www.immowelt.de/expose/0f13d261-c214-48b5-b259-8817f4acbbac
"Innenstadt, Coburg (96450)",625.000 € 2.841 €/m²,8 Zimmer,220 m²,1.750 m² Grundstück,https://www.immowelt.de/expose/a6024a15-ab8a-467a-b73e-c98033bc6f8e
"Innenstadt, Coburg (96450)",169.000 € 2.115 €/m²,3 Zimmer,"79,9 m²",EG,https://www.immowelt.de/expose/fb604932-81e4-43bd-94a9-ef0910db2d12
"Scheuerfeld, Coburg (96450)",635.000 € 4.045 €/m²,157 m²,1.740 m² Grundstück,Unknown,https://www.immowelt.de/expose/9d83fbf7-c4b5-439c-8e9d-d26d591a593a
"Innenstadt, Coburg (96450)",433.000 € 4.811 €/m²,3 Zimmer,90 m²,Unknown,https://www.immowelt.de/expose/2fe85136-75f4-4450-9b64-e3feaa62893f
"Kanonenweg 11, Innenstadt, Coburg (96450)",433.000 € 4.811 €/m²,3 Zimmer,90 m²,EG,https://www.immowelt.de/expose/0eac635c-5760-4f91-b02a-7c189b57f83b
"Lützelbuch, Coburg (96450)",520.000 € 3.537 €/m²,6 Zimmer,147 m²,846 m² Grundstück,https://www.immowelt.de/expose/588b5f1a-5171-47b3-9b32-98fbecb8219f
"Innenstadt, Coburg (96450)",1.100.000 € 1.880 €/m²,17 Zimmer,585 m²,Unknown,https://www.immowelt.de/expose/f65633c1-d04a-4cdb-9574-6d7bd1fe358c
"Innenstadt, Coburg (96450)",475.000 € 2.654 €/m²,11 Zimmer,179 m²,521 m² Grundstück,https://www.immowelt.de/expose/28ab8ffe-cc4e-4600-831c-2213f3be75e3
"Innenstadt, Coburg (96450)",99.000 € 1.500 €/m²,2 Zimmer,66 m²,2. Geschoss,https://www.immowelt.de/expose/16e0f717-c95f-4df0-98ee-6e2ca433df50
"Innenstadt, Coburg (96450)",220.000 € 2.200 €/m²,3 Zimmer,100 m²,Unknown,https://www.immowelt.de/expose/8e7bb69d-9ed3-45af-b69e-3f09a0ac8da4
"Innenstadt, Coburg (96450)",99.000 € 1.445 €/m²,3 Zimmer,"68,5 m²",EG,https://www.immowelt.de/expose/e4bec8db-71f4-466b-bfef-6b5437dc6589
"Innenstadt, Coburg (96450)",1.100.000 € 2.200 €/m²,17 Zimmer,500 m²,228 m² Grundstück,https://www.immowelt.de/expose/02ad4a5e-159d-4691-998c-8170481d82ef
"Cortendorf, Coburg (96450)",299.000 € 3.785 €/m²,3 Zimmer,79 m²,Unknown,https://www.immowelt.de/expose/9215e758-8399-4c4a-93e0-986e40d87255
"Innenstadt, Coburg (96450)",169.000 € 2.253 €/m²,3 Zimmer,75 m²,4. Geschoss,https://www.immowelt.de/expose/7e278f5e-9e26-4de2-a459-9785cd63ce63
"Innenstadt, Coburg (96450)",230.000 € 2.614 €/m²,3 Zimmer,88 m²,8. Geschoss,https://www.immowelt.de/expose/4d662dca-a4df-4081-b1d6-7b61675baaff
"Allee 5, Innenstadt, Coburg (96450)",249.000 € 2.467 €/m²,4 Zimmer,"100,9 m²",frei ab sofort,https://www.immowelt.de/expose/82ebd086-cb91-49a7-8cce-4e2e53e5384c
"Weidach, Weitramsdorf (96479)",275.000 € 2.391 €/m²,"4,5 Zimmer",115 m²,819 m² Grundstück,https://www.immowelt.de/expose/eb86749a-53bb-448f-bf7c-0dfaf6864f86
Dörfles-Esbach (96487),357.000 € 4.009 €/m²,3 Zimmer,"89,1 m²",Unknown,https://www.immowelt.de/expose/c23e790a-043d-4df4-b407-792dbae2dc06
Dörfles (96450),199.000 € 672 €/m²,9 Zimmer,296 m²,1.673 m² Grundstück,https://www.immowelt.de/expose/15fa8b7a-f070-4f9a-aecd-4314cb492854
"Weidach, Weitramsdorf / Weidach (96479)",209.000 € 1.079 €/m²,9 Zimmer,"193,8 m²",861 m² Grundstück,https://www.immowelt.de/expose/d376feb6-0d2e-4c36-b81c-3ec66fcd0d5e
Dörfles-Esbach (96487),348.000 € 3.906 €/m²,3 Zimmer,"89,1 m²",Unknown,https://www.immowelt.de/expose/4e5b472a-c447-4e50-826b-44d377ad3850
Dörfles-Esbach (96487),198.000 € 2.357 €/m²,3 Zimmer,84 m²,EG,https://www.immowelt.de/expose/dc68dcd9-04cf-4494-b3ec-93577cfc60ac
"Weidach, Weitramsdorf (96479)",599.000 € 2.786 €/m²,8 Zimmer,215 m²,1.175 m² Grundstück,https://www.immowelt.de/expose/4108ccaf-ba75-49d8-9df3-a89a92db1993
