Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Innenstadt, Coburg (96450)",125.000 € 2.500 €/m²,2 Zimmer,50 m²,3. Geschoss,https://www.immowelt.de/expose/864fb505-1a9b-42d9-a2c2-eaab1147420d
"Innenstadt, Coburg (96450)",139.000 € 2.242 €/m²,3 Zimmer,62 m²,2. Geschoss,https://www.immowelt.de/expose/1dd946d3-46b6-41ba-be7b-4fbae6c4b86b
"Innenstadt, Coburg (96450)",380.800 € 3.462 €/m²,5 Zimmer,110 m²,730 m² Grundstück,https://www.immowelt.de/expose/5ce6ed17-6a34-45a0-a42d-add954358ea5
"Bertelsdorf - Glend, Coburg / Neuses (96450)",635.000 €,17 Zimmer,634 m² Grundstück,Unknown,https://www.immowelt.de/expose/2b628f86-72bf-452d-a1bf-7180fe13001a
"Innenstadt, Coburg (96450)",497.000 € 3.550 €/m²,4 Zimmer,140 m²,Unknown,https://www.immowelt.de/expose/1e0f56f8-105d-4da4-bf39-fea06a3449e7
"Sonntagsanger 11, Innenstadt, Coburg (96450)",399.000 € 2.558 €/m²,3 Zimmer,156 m²,2. Geschoss,https://www.immowelt.de/expose/5d573ceb-86ff-4330-87e8-427b7ef1e08f
"Innenstadt, Coburg (96450)",259.900 € 1.925 €/m²,6 Zimmer,"135,3 m²","870,3 m² Grundstück",https://www.immowelt.de/expose/2d0c3415-0729-47b5-96e9-84b860ca3fb7
"Innenstadt, Coburg (96450)",419.000 € 2.479 €/m²,7 Zimmer,169 m²,410 m² Grundstück,https://www.immowelt.de/expose/bbaacc5a-be1f-4250-acf3-5feb7529fdae
"Creidlitz, Coburg (96450)",380.800 € 3.462 €/m²,110 m²,730 m² Grundstück,Unknown,https://www.immowelt.de/expose/d82b5a37-3a38-4fcf-a747-28e113087cca
"Creidlitz, Coburg (96450)",325.000 € 1.711 €/m²,6 Zimmer,190 m²,748 m² Grundstück,https://www.immowelt.de/expose/a43193d4-67b4-4788-8b65-e08acb38fe63
"Innenstadt, Coburg (96450)",109.000 € 3.303 €/m²,2 Zimmer,33 m²,2. Geschoss,https://www.immowelt.de/expose/16f4f895-4eb0-47b3-ba24-ac6aae7f5242
"Innenstadt, Coburg (96450)",179.000 € 2.157 €/m²,"3,5 Zimmer",83 m²,Unknown,https://www.immowelt.de/expose/d567d722-adb6-4f42-a431-b1a92554d258
"Creidlitz, Coburg (96450)",380.800 € 2.176 €/m²,175 m²,Unknown,Unknown,https://www.immowelt.de/expose/e4a72af3-51da-4349-9050-0250c0bbdc4d
"Lehengasse xxx, Creidlitz, Coburg (96450)",380.800 € 3.462 €/m²,110 m²,730 m² Grundstück,Unknown,https://www.immowelt.de/expose/c38f99a8-41cc-41db-9a7e-3131726fd2c3
"Innenstadt, Coburg WE 3 (96450)",66.500 € 2.309 €/m²,1 Zimmer,"28,8 m²",1. Geschoss,https://www.immowelt.de/expose/626f964e-bca6-4bd4-906b-da00e25539b3
"Neuses, Coburg / Neuses (96450)",299.000 € 1.410 €/m²,9 Zimmer,212 m²,478 m² Grundstück,https://www.immowelt.de/expose/865af4e5-9a7c-4c8d-a4a0-f0ceeb57fcc5
"Innenstadt, Coburg (96450)",111.000 € 2.313 €/m²,48 m²,Unknown,Unknown,https://www.immowelt.de/expose/afe46631-b475-4ed2-bebf-9f2ea72d9fce
