Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL;city_id
"Übriges Stade, Stade (21680),230.000 € 2.826 €/m²,3 Zimmer,""81,4 m²"",2. Geschoss,https://www.immowelt.de/expose/2d497bc3-def9-4de8-a66e-3721e8a13029";5717
Übriges Stade, Stade (21682),748.000 € 1.748 €/m²,12 Zimmer,428 m²,729 m² Grundstück,https://www.immowelt.de/expose/444e2e79-b075-4f53-9cd0-3bd85295c57d;5717
Übriges Stade, Stade (21680),209.000 € 2.613 €/m²,3 Zimmer,80 m²,325 m² Grundstück,https://www.immowelt.de/expose/badde609-e402-4a23-b8b7-ddf8fa6353de;5717
Übriges Stade, Stade (21680),458.000 € 2.181 €/m²,210 m²,375 m² Grundstück,Unknown,https://www.immowelt.de/expose/2f1a81d8-007d-40ae-8d77-540dede06090;5717
"Innenstadt, Stade (21682),184.900 € 3.025 €/m²,2 Zimmer,""61,1 m²"",2. Geschoss,https://www.immowelt.de/expose/7432d553-e4aa-4c0d-bba0-06d25775e914";5717
"Sandersweg 9a, Übriges Stade, Stade (21680),253.900 € 5.273 €/m²,2 Zimmer,""48,2 m²"",2. Geschoss,https://www.immowelt.de/expose/9ccae58f-cce8-43d3-bcff-e6669027a0a7";5717
Neubourgstrasse, Übriges Stade, Stade (21682),1.320.000 € 2.031 €/m²,650 m²,685 m² Grundstück,Unknown,https://www.immowelt.de/expose/b8fd5109-2ae4-457e-af76-e35fb68e3411;5717
"Übriges Stade, Stade (21682),259.000 € 2.201 €/m²,5 Zimmer,""117,7 m²"",371 m² Grundstück,https://www.immowelt.de/expose/464911e2-de3b-4cb3-b050-a11206ee75e0";5717
Übriges Stade, Stade (21682),445.000 € 2.781 €/m²,8 Zimmer,160 m²,800 m² Grundstück,https://www.immowelt.de/expose/6947c466-7076-42c9-81bf-6937b8b90130;5717
"Übriges Stade, Stade (21682),318.000 € 2.346 €/m²,7 Zimmer,""135,5 m²"",Unknown,https://www.immowelt.de/expose/5ae193d7-3328-4eb9-843f-fea32376025a";5717
Übriges Stade, Stade (21680),649.000 € 1.442 €/m²,13 Zimmer,450 m²,15.000 m² Grundstück,https://www.immowelt.de/expose/875d7064-ef27-4127-b199-ed43943b0dc3;5717
Hagen, Stade (21684),495.000 € 3.587 €/m²,4 Zimmer,138 m²,801 m² Grundstück,https://www.immowelt.de/expose/443097a5-e700-4553-9ecf-6a8a04b5bf3b;5717
"Übriges Stade, Stade (21680),245.000 € 4.636 €/m²,2 Zimmer,""52,9 m²"",EG,https://www.immowelt.de/expose/3429dde1-4711-45ff-a82c-7a34e7ddebd8";5717
Übriges Stade, Stade (21680),165.000 € 3.438 €/m²,2 Zimmer,48 m²,EG,https://www.immowelt.de/expose/a8309af7-ec4f-457e-89be-a5a1741e45af;5717
"Übriges Stade, Stade (21682),255.000 € 3.039 €/m²,3 Zimmer,""83,9 m²"",1. Geschoss,https://www.immowelt.de/expose/9a7ef47f-b81a-4b91-afe0-34ae9cc7d993";5717
Übriges Stade, Stade (21682),960.000 € 4.424 €/m²,4 Zimmer,217 m²,1.150 m² Grundstück,https://www.immowelt.de/expose/6ced796d-0371-4606-b234-4e6e44451d24;5717
Bützfleth, Stade (21683),385.000 € 1.808 €/m²,10 Zimmer,213 m²,922 m² Grundstück,https://www.immowelt.de/expose/00ec2255-56a7-450d-83f6-98f5869f1e05;5717
Übriges Stade, Stade (21682),95.000 € 2.969 €/m²,1 Zimmer,32 m²,Unknown,https://www.immowelt.de/expose/f711568f-9477-410b-bb91-1ca0b917a418;5717
"Haddorf, Stade (21683),459.000 € 3.852 €/m²,4 Zimmer,""119,2 m²"",437 m² Grundstück,https://www.immowelt.de/expose/451bcac4-9b7c-49ea-8a69-6a7d1c63ec65";5717
